@rowCount	1660
w	d	t	q
xelfanva	xe+fanva:  translation:   x1 = fanva5 (translation), x2 = fanva2 (source text), x3 = fanva3 (target language), x4 = fanva4 (source language), x5 = fanva1 (translator)	jbo	QNNLOOQNPNSIRNQPLRMLTNNPTQNPSOPRNQNQKMMRNNQNPQNRSPMKKNSNQMPMQQPORNOQJQJPROMOOKRLONPSOOSORQMNTNNQOOQONPOQJNPNMKNLNNNRQNPMNOQQNKOOMQOSMOOMIMLOLOMNRPNPTROQMQPLQNKLNQPNQNPQPOPLPNJNRMNQOOPONROOKROQSRQJRMKNPSRLJKLKHPOQNMPLPMLKSLNOKPQPLOQNQPNMMMQNSNKPOONNRQUQRMMNORLMRONPQPPQLSMPOLRMKMNOOORMOKRNPNNQNNTONPOOLPRNMPRQQMQUSNQSUPPOLKLOLPJKRMPNMLOQQROMMQMMOOLMQKQRPNNRRRRORMJOSOPHQLOOONLPMMQPMTRO
selfanza	se+fanza:  annoyed:   x1 = fanza2 (annoyed), x2 = fanza1 (pest)	jbo	PPORNMUNNNUKQNQQQMMMPNOQOOKSSMPROOPLOMMMRNQMLONRSONKMPQPPPMOPOPPQKMONTMNONNNOKQMLLMPOMOPPOOOXONROOMQMRNQNOMMOLKMRPNQSRUOSONNRLKOPRMRLPNPJOINQROORMMQQRMOOQMMQPOPMVQOSNNNPPMNNNMQSOPOSQLOPPNOLNQNSPQOOPLOLPOJJJOOKNMNNMPNOPMPTOLOINKPMLQLORMNNKPPROLPLOMOPPTPPQLOMOQPLLPMORRURPNPLNPNMPOPLNNOPLMQNLMPOOSRJMMOLQQOMQQNMLMXQNQQTQOONIOPPQKLQQOQPLOQQRMPLPKNPPLKROQNOMNOQPRKQMMORMRFNIQNOPLPMRPPPTPO
selpro	se+fapro:  opposed:   x1 = fapro2 (opposed), x2 = fapro1 (oppose), x3 = fapro3 (in contention)	jbo	NMNMQNQQPPQMQLNPOOOQNLOPPOLQTOQPOPNMOONOOMOMQQMOPQLMJPRNMOOPONNOSNLNNVMPNNNQQORKOOOQPMONNQNPWPQRPLORNTMOLJLMNNPKPOKQTPVKOOOORIKOMQNMLOMOJPMRSPRNONNLSQOOPLOPPPPMNQQOOLPSMPPLUKNMPPPNTQOMISNPPPOOITKLPQNNOPSMIPQOKPNPLLQNOMNMPRMOKORNMNSISQTOOMQONPMQQRNPPQSNPNJMNNOPLMNLPPSSQQLPRLNOMOOOPPKRQMRQTPKROOQRJMQPKRPSORPSJQNUONPPSQROPKRPMPKIMPPSOKPPMOMKLONPPQMLNOOMNNLPPPOPQONPRQPKKIQNNOONJONQSQTR
terpro	te+fapro:  in contention:   x1 = fapro3 (in contention), x2 = fapro2 (opposed), x3 = fapro1 (oppose)	jbo	OMKMQNTRQPQMRNNOMMOPPKMNPPKPTOPPNQMONNNOOMPLRRLROOMMKQSPOOMOOOOOTOMQNWNQONQQQNQMNNNPRJONPQNRUPOQPMNQNSNPMLLMKMPJQPJRPPTKOOMOPJMOLPLNLOMNLPMPQOQMOPMLSRMMQOPMNPONNSQPOLRRNOONSJLNNOQNRQNNKRORQONPJTJLSRMOQOSNMNONJOOQKLPLOPMNQRNOMPUPOMQHRPQOMNRNOPMPQNOOOPRMSNKJNOOPPMNMTOQTPQNORKQPNPNQQNLRQLSPTPJRPRPULKPPHORQLSRRIRPTOLQRROOOOKQPNOMJOOPQOKQPLMKNMOMQNPOOOOONONOQPPPOOOLRTPOKKHNONNNOKMMQPRSR
selfa'u	se+farlu:  fallen to:   x1 = farlu2 (fallen to), x2 = farlu1 (fall), x3 = farlu3 (fallen from), x4 = farlu4 (frame for fall)	jbo	QOOMSQPQPKRLMNPOJTMMQNMPQPLNPMRPQQNNPOMQMNSPOQNPPSOPKPPPNLQNSOQNQOMNMSLNOKLNQMQOPQNPNOORONPQTPPQPJRPOPNQMNKONNPMRQPPRPQNQQOQLJNOOOQNKKLPKTJORLOLSNNPMNOPPPLMONMKNMPNPRQOJMNOPLPTRQLMPMNQNPMPMOOMPNOLNPJLNPPKNNRNLQQLOMRNLMJKRLQONRMOONRNNSMNMOSQQPIPPQMMPSWMNLKLOPMMNMLKOVRTQPNUPNKPLPORONKOKJRPTMKNHQRPNLMMKUOOOMUSNNOUSQMQTRQOMPLMNTPMNKNPOOOPNONOQMOPOONPSORNQMMNRRRQMNMQSQRKPKOKMQPONQQPJRQO
terfa'u	te+farlu:  fallen from:   x1 = farlu3 (fallen from), x2 = farlu2 (fallen to), x3 = farlu1 (fall), x4 = farlu4 (frame for fall)	jbo	OPNMTRQQQKSKMPOMJUNORNNPRPLNQMQQNPLNNPLQLNTPPQNQPQPPKRPONMQNTPQNRQMMMRLOOKONTMPPQOMONPOSPNPRRQOOOIQOPMNRNOKONOPMRQNPONPNRQOQLJNONQPOMKLONSIPPKOKRNNPLQNOQQLMOONJNNQNOQSPKNOPPLPTQQNMNMNROQNOMOPMPMNLPQJLQORMPNRNKQRNNMQMMNJKQMQOOTONONOMORNNKNSPROJOPPKMNSVMOLKJPQMNPMMLQTQROPPSPMNPLOPSRMMOLJSNROKOJPRRNJMMJTPMNLTRMOOTSOMSUPQOMPKLMSQNNJOPPOOPMMNOPMONNQNORPQOONOORQRQMPLRRQRKPKNMKQQOOOPOJRRO
velfa'u	ve+farlu:  frame for fall:   x1 = farlu4 (frame for fall), x2 = farlu2 (fallen to), x3 = farlu3 (fallen from), x4 = farlu1 (fall)	jbo	RNNKTRPQPKQMMONOJUNORMOORQMMPMSQPPLNPQLQMNTOPSNQQQQPLPOONLRMTPQNPPMNLRMOOKLNSNQPPPNOOOPRQNPQRQPOQIQPQMOROOKONNOMSROPQOPLQQPPMINOMOQNKKMPNTJOQKOMSNNQNOOPOQNNONMJONOOOQROKKNOPMOUPQNMNNNRNRMNLOOMOLNMOQKLPPRMOMQNLSRNONQNKMJLSNQONSOPPNPMNQMMLPTQROJOOQMMMRWNMLLLOQNMOMKKPUQROQPRQMLOLOQROMMOKIROROLNIRSRNMNOKSOMNLTSKNOSSQNSUQQOMPLLLTPNMJOPOOOOMOOPPMOONNOPSORORNNORRSRLPLQRRQJOKNNMPPOMOPPHQQO
selfa'a	se+farna:  direction to:   x1 = farna2 (direction to), x2 = farna1 (direction), x3 = farna3 (direction from)	jbo	QOLNNLNLOMTKPMQQJROPRRMQPPSMQKOPORKNLOMSNOQNOOMPSRMLHPSRMMONUNQLSLNPMPMNLMNPRPPMNPNSPOKPQQPQSMSQRNRNQRKOMMNNNLPLQLLORRUMMOORPKMONQQONONOKRKQPMOMPMJOQPPNQONLONOMNPQQQOOPMOONPNMTTQKNPOOOLSLRMPRPPPKMSPMMPPNLHMPMJQONONPNNOJNQLOOLPMLMMRKNRMPOKQQROKNNPMORQWQLOLMROKNOOQMOQSUPRMRNOPPNOOPKORNMLSPSNNNNNRSNNLPNSOOPMTTNMSWQRMPRNSOILNPOUPPNMORMLSOQQNMNNLRPPLORMQLQOKOPQQOKPMPPNRMNJPMQNNPMONSNUQO
terfa'a	te+farna:  direction from:   x1 = farna3 (direction from), x2 = farna2 (direction to), x3 = farna1 (direction)	jbo	PPJMPLOMNMSKPOPOIQORRRMQQQRMRLOPLQIMKQLSNPQNQPMRSONKHQTRNMONVORKTMLPMOMPNLPOTPONNNLQOOKRRPQRQMQNRMPNROLPNONOMNPJQMKPOQSMNONQPLNOLRNQPOONNRKROLOMONKOPSNLQOMKONOLMQQQPNSPMOQNPMLSRQLNMPNPMSMPNPRQOPJMUPMMSOPMLLPLJPPONOONOQINPLOONQPKMNOIOQMPNMQOSOLLMOKNOQVPNOLLRPLNPOQMQORTNSPPOORPOOPQMNTOOLSNQNNOONRUOLLQMQPLOMTSNMSURPOSSLSOJLMONTQQNLORNMSQPNNMMMLPORMORNQLPPMOOPQOJQMPQORMNKNOPMNPLNMSMTRO
selfarvi	se+farvi:  developed:   x1 = farvi2 (developed), x2 = farvi1 (develop), x3 = farvi3 (developed from), x4 = farvi4 (development stages)	jbo	RLONNKLMQMPKQNNNIPQORMOORQNPUKPSRMKNRNKNNNPPOLMOMRMLIOROIOOQRMQNOOOOLQKMNNNSSQPJPPLRMQPNONNPTOQPPNUMNPQQONNOMNOONMNROPRPQOQONJKONQNRLPQRIPJQPQSOSNNMPOPPSRPNPNRMPQQQNOPSLPMMOLNOUQLOOLOPKQLQKNLQPRRLPOMMPPRKHPOPJRMMNNPROQKMPMNOLQMONOPLMRRMNLNORLMROPLNRQUNMPMLNROMNNPLNRSSPPPSNMQOLLOOOPOPQKRORNLPKNNOMKLNLPPOQPTSNQRURPORPPROONKQPSKQOPLNNMSMOTMOPQNOQNOKROTOOONKRTSRPQMPOPNHNKOLONNOPPQQMQSP
terfarvi	te+farvi:  developed from:   x1 = farvi3 (developed from), x2 = farvi2 (developed), x3 = farvi1 (develop), x4 = farvi4 (development stages)	jbo	PNLNPLLNQNQKPOMMHPQPSNOORQNOVMOUPLJORPKNMMQPQMMPLPNKIPSOJNOPSNQMPQNNNOKOOOOSUQOKQPLQMQPORNNQSPONPMTMOMPROONNLOOOMLMRLPQPPPPONJKONSMSNOQPLPKQOPSORNMMOROOSSPMONQMOQRQNMRTMONMQLMOTQLPMMNPLRMPKOLQOPQLROMMQOSKKOPOIRNNMNORPQKNOMNONRNNMONKNPRNLLONRLKPONKNPQTNOPMKORPMPNQMPRSRNQRPOMTOLLNOPNQPQJTMPOKRMMOQMJLOLOPMPOTSNQRSSOOTOPRONMJPORLQPOMNNLUOMRMOOQNMPPOKRNTPNPOMRRSRPRLROPNINKNONMNPOOPPMRTQ
velfarvi	ve+farvi:  development stages:   x1 = farvi4 (development stages), x2 = farvi2 (developed), x3 = farvi3 (developed from), x4 = farvi1 (develop)	jbo	QOMMPMLNPNPKQNNNGQQPSMPNSROOUKQTPMKOQPJNNNROPNLQNOOJIPQPJMPPRMQMPONPMQMNOMNTTRQJPPMRNPOMQNMORPPOQMUMNMRQOONNJMNOPMNRNOPOPOQOMHKONPMSMPRRKQJONOQOTOMMPPOPRSRLNNQMPQPROOPRMNMLPMMPSQNPMMNNKRLNKOKQPPRKROMMPPRKKOOOJTNOONPQNPKMPONONRNNNOOLMQPLLMPNRLLQMPMNPPUOMPNLORPLONPMOQQSNQSPOLSOLMOOPPRPQJRMQOKPLOPQMMMOLNQMONTSMOSTRPPUPPSONMJPOQLROOMNMLTNNSMOOQMNPLQLSNTPPPNMRSTRPRLQNOMHNKNNPMNPOOPPLSRQ
selfa'e	se+fatne:  reversed:   x1 = fatne2 (reversed), x2 = fatne1 (reverse)	jbo	NPPPLMONONSKSLNOJSOOQOLPQOOPQMRNPPJOPMPOOJOMOOMSPSOOHRSRMPOMSMONRKMOMTMPLOMSMOPNMOPSRQLONQOPVNQORSRPMTLOLNONOJPKSNNRRQTLKONQOMMOLPSNLOLPJPNOOOMMRQNLNPNMONOLRONNPOPPRPNQNNNKONNQUMOPQNMNNRNSOROPMQMMOSMOOQQNKLONJPMMLMOKOPLMPMMOJOMPLNSKRQRMMLQRQOKNMRNRPRTTPQMMQPLPMOPNONSWTMMROKOQMOMRMQQMMLSPRMLMLMSQOMNLMRLQMPRPKPOVMPMQPOQOLKQQNPMNOLMROJPONNMKLNORPNMORNRNPPPORRPPOOMQRNROPKSMPNONLSOSQSUN
selfai	se+fatri:  receive share:   x1 = fatri2 (receive share), x2 = fatri1 (distributed), x3 = fatri3 (share)	jbo	NKMQMMQLOMTISMRLNOMNRMLQPNMMPLSNQOMOMLMNOLONOONRQQNNJRSPLOLLOMRPRLORLPLPMONSPNQLMRNQOPOOLNPTQOOPOOQPNUOMKMLONOOLNOKURQTLOLQNNKNOJNPNNNONHMKQQPOMQSRNQPONQNMMQPQPNNQOROLOPNOKMMMPVOOMROROLQORMPOPOTLKQROPNRQLKNPNIONQKRNOLPLMRNOOKRONNNQJPUNNNKPQTLLOPPOPSSQSNOLNMOLLOPQNPNRVTMOQQOPONOOUNQNKNHPSTMOMNOPPOMQNLOOSNQUQPNRQOOLSQMOOMJNQNSKNPOMPPKQMPPKINMPQQOPMROPMRPPMPROROROPSQMONNPMLQMLLOSRORPQ
terfai	te+fatri:  share:   x1 = fatri3 (share), x2 = fatri2 (receive share), x3 = fatri1 (distributed)	jbo	MMKPNNRMONTJTOQKLNNORMLQQONMQMROOOKOKMMMOLPNQPNSPONMKTTPMNLMPNSPTMNSLPMQNOPSQNOMMQMPOOOPNNOVOOMOONQPOSOMKNNONPOLNOJSOOSJNMOONLOOJONPPNNKKLKQOPNLPTROOSNMQPMLQPRPLNROPONOQMQKMMMQUNPMPOQPMQPQMQORNSKJSROPPQRMNNPNHONRIRMOMRKMQNNOLSQMNNOIQTNNLKPOULLMOPNQQSPSQNKLNOLLQORNRMRURNQNQORPNNOUOQPLOHRQQMNNQOQRPKRNLNPPLQTPONROONMUQLOONINOMQMOPNNPQKQONMKINMNOOPPMRPPMPQRNPQORNROQTQMQNNNOLPLLLNRPOSQQ
selfebvi	se+febvi:  boiling point:   x1 = febvi2 (boiling point), x2 = febvi1 (boil), x3 = febvi3 (boiling point pressure)	jbo	MMMQONSMOIQJQNOJIMPOPLLRSTPTSOPNNLQKOOJPQNRRQQLPPNMNITROJONQOQPPUMOOMSMQQMTRPNOOMOMRHNPNRPPQNOSSPPRMOOKPQOMOMOLMQKNPOMPNMNMQNMLOLPSPKPLPJQMPNQOMSONNPMNOPRPPMOTMLPQPQOPROOPQONLPVOMQPONPNSLNKNNKQRLKROJNQOPNMPRQHMOOKJNQNONOSNKOJPLQPMPMQRPONOLSOPNQLSNOPQTLPQLNPQLOTLNNSOTQQTRQPRMNKQQOLNMNQMSOOMLMMLPOPLLMNRPNPSPUOORTPONSNPROOLNQOQNNPRMPOJONNPNKNONOSNPPRNOOONNONSPOLNOLPTNNNMONQPNOKQPPNRNO
terfebvi	te+febvi:  boiling point pressure:   x1 = febvi3 (boiling point pressure), x2 = febvi2 (boiling point), x3 = febvi1 (boil)	jbo	KMMQPOTMPKQJPONIHMQQPMMQSTOSTPPOKLPKOPJPPORRRPLQOMNMJUSNKOORORPPUNOOMRMQRNURQONQMNMPGOPNSPNQMORPPOQLOMKPQPNOKQMMQKNOLNPONNKONMLOLQRQLPMOMPMOLQMMQPNNPQMNPRQOMOTKLPOOQMQRPOQRONKOUNNQNOLPORNMKNOLQQLLSNJLSOQOOQRQHMPPJJNPOQOPQNMOLQMPPMMKRPPNMOLRPOOQLQMPOPRMRQMMPRLPTMNOTOTOOUTNPROPLPQNNMOORMTNMMLNNLPQQLMNMQOKOROVOQSSPNOTONSOPLNOMQNPQRMPQKOOLNOMNNNMROOOQONOLMPQNRPOMOOMPTNOMMNPQONOKQPOOSNP
selfemti	se+femti:  has 1E-15 part:   x1 = femti2 (has 1E-15 part), x2 = femti1 (1E-15), x3 = femti3 (1E-15's dimension)	jbo	MQQQPJPPOHSIOONNLONPRLQOPPRQOLQTQOOONMQOPNPNNJPNOPNRKSUMLPOOSOMNRPOJKQLOKNMPTORPLPQONQMQMPNQOQTOPNSQOSMRMOPQLNRLQNORQSUMTOLRMNJOOTNPMPNOMQINPMNNNPPLQPPMQLMNOMRMKNRPRNQNLSQMNNMOTOLRPINONRPUOMQPPSNLQQMRSNRJKJNSLLOIMLOMPLLLPONOLMOKJOQNMSRQMKPRMMNOPRMQOQOMNOOJORKNPLPONRTSORPPONLPNNPPOQOLRLUORMMLOTPOOKMMOSNORQOPOORVQONPQPPONKINONMORPPPNLQKNQOKNPNOPOLNRPONSMNNOQPNPMPNSPPMONQLONMOJRSOOPOK
terfemti	te+femti:  1E-15's dimension:   x1 = femti3 (1E-15's dimension), x2 = femti2 (has 1E-15 part), x3 = femti1 (1E-15)	jbo	LRQQQKQQOISHOPNNKOPQPMRNPQRQNNQTNMOONNQMPOQNOJPOPNPQNTUNNQOOSONMQQNKKPLPLMOOTOQQLOPMOPMQOPNRNQRNPMQOOPMSMQPQLNRLQNPQMRUMTOKQNNLOPVMQOOONPPJNNLMNMPPMOSPLRMMMNNRLKMRQQOSNNRRONNMMTONRNIMPOSQROMQQOQOKQPMRUMSLNJNSLLOJMLOMQNLMNONOPNQJJOOMNQRPLKPQNLMMPPLPLPOLPNOHPSLNQLQQPQSRMSPMPNOPMMPPPPQLSKXNPMLMPTPPOJMNOQNLQPNPOPRTRMOQRNQOMKJNOMMPSPROOMRLLOPKNQNMOPJMQPNNRNONNONOPOPORPPOOOPMOMNOJRQNOQNL
selfendi	se+fendi:  partitioned:   x1 = fendi2 (partitioned), x2 = fendi1 (divide), x3 = fendi3 (division), x4 = fendi4 (division method )	jbo	QQONQLONNMPKOPMMLSNNOLNQSPONPMTQQNLMQNPRMNNOOONNPPQQHTSONOQOSORNQMPNJPOSQINRRNOOLSOOOOONNOPTRMPPRPUQKRLNMLNSLNPKORQPPPSOSNOUSMNOPPRPKNMOJQLNQNPMOOMNSPORONMKRPKNKNPPRQNNNLTJOLORSSKMTNLPKPPQPMNPPPNLPNIOPRNJPQMJIROLQMOQNNIKPLPOONNLLPPOOSMQPOLNOOOQNQOLQQPONQLJNOMNNLQNLOQTSNQUOQORLNOQNNMNOORNSKKNMQRQPNPKLSPSONRPMOSVQKPOURROOONOQOLLNMQONKONNOLMMKMORMMJQOQNRNNOPTRMMMPNPPLNMMNOLOONQPTNMROP
terfendi	te+fendi:  division:   x1 = fendi3 (division), x2 = fendi2 (partitioned), x3 = fendi1 (divide), x4 = fendi4 (division method )	jbo	PRMNQLNNONPKPRLKJTNONLNPRPOMQORSPMJMOOPRLNNOPPMPQOQPHUSONPPPSORNRNONJONTQJOSTMOPLRONPOOOPOPUPNNOROSPLOLMNNOSLOOJOQPPMNRNSPNUSMOOPRPRNNNMMPKOPMQLNPNORSOQPPLJSPLMJNPQQQQONKTKPKORRSLNSNKPLPPOPNMQONMLQNIORQPLRQNJIRPMQMOQOPIKONPOQPPLJQNMPQOPMPLLONNOMPLLOQPNPPMIOPNNOLSONMQSQORTPRRRLNPQNNNOPOSMPMJPOQRSQMPKLRPPONQPLPSSRIOPUPROOONNQOMMOMRNNKPOMLLLLJMNPNMJPOQOQNPQPSQNMNPNQPMNMLLQKNOOPORNMTPP
velfendi	ve+fendi:  division method :   x1 = fendi4 (division method ), x2 = fendi2 (partitioned), x3 = fendi3 (division), x4 = fendi1 (divide)	jbo	QQLLSKMONNOMOQLMKUPPOLOPTSQNQMSQQMIKNQOQMNNOPQLQSOQOHURNMOQOSNRMQMOPJQPSPINTSNPOLROPPPNNPOPUONOOTPSPMPLNNOORLMOKORPOOOQLRPOTSMNONPPSLOONLQJNPMPMOOMNSPOQOOOJRPLMKOORRQONPIRJPLNRQTLNROLOLQONONMQONLLPOJOQRPLQQNKISONPNOPMNIKPPOOOPQMLPOMOPLONQOMNONOLPPKOQRNNPNKOOONNLROMOPSPPSRQQQQLNRQMPOOOORNROKQMRTSQPPLMPOQOMRPKOSTQKPRUQSOONMNQOLMMLQNNJPNNOLLLLMNQLNJSNRORNOPPTRMLOPNOPLMLKLQNNONNORMKSOQ
selfe'u	se+fengu:  object of anger:   x1 = fengu2 (object of anger), x2 = fengu1 (angry), x3 = fengu3 (reason for anger)	jbo	NQNQOMTMQKTHOLRQKPNNQOMPOQOPTNQQRPMPOKNOOQOMNQPNONMMGSSNPPOPNRSQROOMKSNMPKLRPNQLMPNROPMMLSRPUPRRONOQNTPONOMJMNKKMKOROPSMRKMPNMIOQQOPLMNPISIOOQNMPNNNRPLNMROMONRNMQOORNMNOQPNROMLSQLQUONNOQOPMMOOPSMMNMMONMOKIKMNHONOMLRMORMNRPKOLOMNMNRONSQOONRPPPMQQPLMOSTMPRKNLRONOLLLQRTWPOOTOPOKONNPOLMOONOPPMMNMMQRKKNMLRPPQQPRJNPXPMMSQRROJMQNOPPMNPRRNLQMOPONPONOOOLOPQROPONONPRNOLONTRPLOOOLNOMMOTPPQQOP
terfe'u	te+fengu:  reason for anger:   x1 = fengu3 (reason for anger), x2 = fengu2 (object of anger), x3 = fengu1 (angry)	jbo	NQNRPNTLRKUHONQOJONOPOMPOQNQUPQRPOLPNNNNORPMORPONMNMHTTNSQNQNTSQRQOOKRNNPKMSQOQMMPMPOPNNNSRQUPQQONNONRPOPOMIMPKKMJOQMORMQKLPPLIOQSNQNMNMLRKPNPNNNONOPSKMMQNMNNRNLQNMQNOPOQQPSOLKRPNPUNLOQQOOKLOOPQLNPNLNQMQMLKNOHNNPLMPMOSNPSPJOLPNMNNPNOQSMMOQNQQMPPNJLMSSMRRLMNSPNOLKMRQTUNPPRNPQLOONOPLNOPMQPMMMNOMQTKJNNKPONPQOQJOPWRKMTPQROJMQNNNQNNPSRMKQONNPMPONMMQLPOORNMNPPMNQNOMNOURQNOONNMMMMNSPORRPP
selfenki	se+fenki:  craziness standard:   x1 = fenki2 (craziness standard), x2 = fenki1 (crazy)	jbo	MOMNPKQRMKPLRPMOOONQQKOSRNPQQMPPQNNPONQNNNMMNNNOOQLNJUUOJRPQORNPQHMOKULPPMORLJMNPNPMPQOQPRSOUPRRRQPSLTQNQMPMOKOLOMOTORSOSPMRQNKONUKPJMJLMRMPNONQPNORPRMNOQOLQPOPKRQPQMONNPKMRMOOQNLOSNPKPMQVNLOMROMMPOMPOPPKNONOMNKNLQONNPMLQNMOMNLRMQQJPSQNOORKQOLROSLQQROPNRKLOOOPLONNQQRTPNPSQKKQILNOJPNPONOPRMKNMPQOKMLMLPPPRPPQNPNUNLTQQRQONLPOQPLMMSMQPMOQNTMNMNNKLQNQRNSPQMMMMSRMPLPONOPHOJSLPNROMSPNSQNN
selfe'a	se+fenra:  cracked:   x1 = fenra2 (cracked), x2 = fenra1 (crack)	jbo	MPOONMQQLMPKPOQOLOONQLMOQRLORKSRQPNLOOOONMLOPOQRQROOHUTNMPQPSQQQSJNLJUMMOJNROKOQMMOPPQOMRNPSTOQRRQPQLROOLKMRNOQMROORNQRPQNOQMLLONRNNLNLQKRJNPPNQQNMQOOOPOOOKQONNOPPPSOLOJMTMQJMSROKPPNMROQQTOMOQQRNORQKPQSOKMPOPLLOPMPNNPOMMMJOOPMMQRNPMPPNQMNOMPPLROOMORPSNMSMMNPOQOKMMOPPWRJORQOROKLQQMNLQOPQOSKKNMPUPKJMLIROPPMRRNPPWPKOQQOOOLNMPRPMJNNNRNLNOPRLMLOPNPMMMUOPLSLNNPQPMNMQNNOOKLIPONNOPPRTQOQSM
selfe'o	se+fenso:  sewn:   x1 = fenso2 (sewn), x2 = fenso1 (sew), x3 = fenso3 (sewing tool), x4 = fenso4 (sewing thread)	jbo	MOMONMPNNPOMONNQLRNNPMPPSONPQNRMQNOOQOORPMKMNOMOOQNLIRRONPOOUPLRQMQPKRLPPMNPRNOOLTRRNTNMLPORPOQRSSRPMQPNMNKQOOQLPNOROPRSTOJONLOOTTOOOOJPITLOOOQLONNQOLNPPRPNNONMOMNKQOMOQNONPINUTQQQUMMOLNOSOOPPTOQNONIQOONNNNNLNOLKPLQNMLKJOKMOQMMONRRLLSPQRNNPOMMOQOPPOPQPKRNKPQLQPPRKPPQTONJRMPNQKMMOKLOQMOSQVMLLKORONLOKNQMTSNRQMOPZOMOSSPROPNQPNQMKLNPNOMQMOPMJMOORQMKLQRQPRLJLNRONQNNOONPKMORMPOMOPSSPKOQM
terfe'o	te+fenso:  sewing tool:   x1 = fenso3 (sewing tool), x2 = fenso2 (sewn), x3 = fenso1 (sew), x4 = fenso4 (sewing thread)	jbo	LPLOMLQNOPQLPOMPLQOOPMOPSOMPROQMMNNOPNOROMLMONMPOPMMIRSPOQOOVPKRRNPOKRLPQNQPSMPPLSPQNTONNOPSOOPPQSQPNPONLNKROOPLONLQMOSSTPINNMNOSUONPPKOKSLOMOQLOONPOOMQQRONNPOMNNNLQNOPQOQOPHNUTPPPUMLPMOPROORQSNQNPNHPQOPOPNPKLPNLOMPNONKJLKLOPONONPQJOSSPQMOQMMMNQPPNOPPOMSNIQRLQROSMQPRTMNKPNQPRKLLPLKNQOOTPUNLLLORQOJOJNQMRRNSQLPOYOMOSSOROPNPONQMKMNQOOMRMNOLJLOOOQNIMPRPPPMKMNRNOQMMPOOQLMNPNONMOPRROLPRM
velfe'o	ve+fenso:  sewing thread:   x1 = fenso4 (sewing thread), x2 = fenso2 (sewn), x3 = fenso3 (sewing tool), x4 = fenso1 (sew)	jbo	LOMMOMPONPPMONLQLQOPPMRPSPOPQNQKONMOPPMQPLLMOOMQPPMLIQRPOOONVNLRRMPQKQMPOOORSMPOLTRSNTNMMNORMORQSSPPOOPNLOJQNNPMPNMPOPQRSPJMNLMOSTONOQKPJTLNNNPMQOOPPLNQPRRNNPOLONLMPNMPRNOOPJNVSRRPSMMOLPNQOPQPTNQNPMHQOPOONMOKLQMMOLQMNMLJNMLOOMMPPQQLMRQNQOQQMMLOPPSOOOQOJROKPRLQPPSLQQQTLMJNOPNPLNMPKLNQMORPWOMMJPTQOMOKOQMSRNSRMOPYONPSSOTOPMOPNQLKKNQNNMQLOQLINPPPPLLLRQQOQMIMLROORONOONOLLNOMQNLOORSOKPPM
selfei	se+fepni:  worth [in cents]:   x1 = fepni2 (worth [in cents]), x2 = fepni1 (cent), x3 = fepni3 (money system of cent)	jbo	ORJPOIUQMNMISNQNMRPROKMQPRONQNMRRMMNQQLPKKOLNMNTSROPLRRNQNMNMOPMVOOLIPOOLLNQVMQPMOPNQMPNQPQUQMSRMPRQPPNMMMNPNMOLPNPRQOSLRQNQKKMOISNLKQOQLPLRQMOKPLQMRNQOPQKLQNSPPKPOSRPPKPSNOPPSSOLLKMKMNPMNQORNLTPQPTKRSQSKPMPPKPRNRNMNPLNMPMMOKQNRMNPKPRMMPMROMQMOMPOQOPOKPOMJONMMPKQPOPQQPLPRRNPPKPJQNQPOMOQTQOMPOPOQQJLRORRQQSQNMNRSNMLRSMPOMMMSQOMKJPMQMJPMQPOOPONNNONNTOOOONQNNQNONLKLPPLMOKPOQNQNLPPQLLRN
terfei	te+fepni:  money system of cent:   x1 = fepni3 (money system of cent), x2 = fepni2 (worth [in cents]), x3 = fepni1 (cent)	jbo	NSHOOISQNPMISOPLLQRROLLQPRONQNMRPLLNPQKQKLPMOMMUQPPNMTSNSOLOMPPLVPNMJPNONLOQWNPPNOONQMNNQORUQNRQNNQPOPOOMNNQLNNLPNPQNNSMRQMRLLNOHTMNLQOPMPMQPMOJOMQMRQPNQSKLQNSPOLPOSPQQMPSOOOOQRONMJLJLMPMLQNSOLRNORSIRVQTKRMNOJPRNRMMMPMNMQOMOMROPMOOKQROLONRMNPNOMOOPOPNKQOLIONMLOLRPQOPPNNRQRNRPLPKROQQPNNRROPLQQPOSQKMRNPRNORQMMNQRNKMSTMPOMMLRQNOKKPMQOJQNPOOOPNMNMPNOSPOONOPOMQOPOMLMOOKNNJOQQNRMMOOPLNRN
selfepri	se+fepri:  has lung:   x1 = fepri2 (has lung), x2 = fepri1 (lung)	jbo	PRNPPMRQOLSKQRPMKPKPSPNMNRMNTNRQQPPMOOOPOIMNOMNRRUMOIVROJMMMMNOPSOPKLUNPNOMRRLQOONNOPRKMMQNPSORPQNOPLSOPKKNNNPQMROPTOQRKPMMPOKKOORPQMPKOKRIMPNQPQNQNSRNMQQNMPOQPJPSPROPQKPOLTGMPRPLOQOPNLRLVPPPPPQJMRSLQQOTKLOPQKPOPNNPMMKMMPMPOMOONMNRJMRRONLQSOMLQNQOOPQRONOKNMNNNMMOKPOUTQNPNPNMNINQNNNLOPQPPQONOOQRONKNMMROPNOOOLPQTOOOSQNPOKLLNOPNJNNMSPKRNLSNLNNLRPNMKSRPNPMNLRPOORNOORQRLMJPMQNLQNNTRPQQO
