@rowCount	3257
w	d	cache	s	q
.a'o lo nobli cu gidva lo se zukte be mi	Oh, that the Lord would guide my ways.	.a'o,lo,nobli,cu,gidva,se,zukte,be,mi,a'o,o',t'at,t'e,lord,would,guide,my,ways	😐,?	OOROMMQNLOOQPNQOMQMNPVOLKQOOONONLPNTRQPQQQPORNMMOOLNNOQPOOQQOOMSONQOLPMNQMLNQNONNMOSLORJSPMJNNMOMLMTMNMMPPKQOMOOPOPNNSORNPSRNMOORPQMQSLOPNOSKPLMNPMLNKSPTNQOTQNQOKMQKLNONMQPIRONKROORLOMNQQPPMPSLINNNLKMQQMNOLPJQSMSWPQMMKOSPLIOMKUONMMQUOPQNPOMPPNPLMQPPPQQMPTMGMOOMPOPLPONOQQROPMONLMOPNSLOPQQQNMRMRLLLQQJTMOKQKPPQKRNRQOPSOQOOLQPRQPOPPRSSSSOOKLNQNSOONPROSOPMQJOIPQNNQPTLMSPMNRQSPROPOMQPMKK
.a'o mi bartu la .tokios. ze'a su'o so'u djedi	I hope to get away from Tokyo for a few days.	.a'o,mi,bartu,la,.tokios.,ze'a,su'o,so'u,djedi,a'o,tokios,i,'ope,to,get,away,from,tokyo,for,a,few,days	👍👍	OMSQPOTNLMPKKTSMRMMNMMMQOROQOOMOOQSOOMQLPRRQSOMNTNPOOQPPQLQOMNNMOKNTQMNOPRKMONOORPPPMQNNRQOQOOJMKOMRQPRKNPNOLOKPPPMUQSOQNPSPLNNOONMPQLPPMPLLLJNPQOOQRLMPMQNJQPLQMNPLMNMOONLQTNRNSNJMNMORSMRRLPKNPRQLKNPMPNMOONROMSNQUQQKLNPLPLNOSNMMPPNVOQIOTPONTPIQPOJRMRSOJSKLIPOOOONSKMPNNQNVNNQPKMMMMKNPMJNRNNUOQOOOMRNMPQSOQSMNULNPUMPSROMOPMPMMMMPRRTRNRNOTNONMNOLQPNROQNNLNOMQJMNOOMQNNQMPNOMMPNQMLOQRLKP
.a'o mi te dunda su'o karce poi kargu gi'a do'a nai na spofu	Hopefully, I'll be given an expensive car or at least one that isn't broken.	.a'o,mi,te,dunda,su'o,karce,poi,kargu,gi'a,do'a,nai,na,spofu,a'o,hopefully,i'll,be,given,an,expensive,car,or,at,least,one,t'at,isn't,broken	G−E	KOTNOKOPNPPMONPOTKMQKQNPMSKPONNJLPQLNLPKNPPPRNSPRNOPOPLOOQNQNPOORNQPNTOMOPOMRLRQLMPLNPRQPOKMOPNROMMQRQVNMPLQNMMQPPLQKOQQOMQQNNNOLPNROPPRNMONNNOQMNKMKMRPRPPNQNLSRPILKNNNPONPRMPPMKLMLOJOUPNMKNQPNSOQPOPONPOQOOQRNOPQVSLIPNPLMLSOPMRRQOLPOTKQQPOKQLNQMSRSOQNLMMNKLSRQPMLRONNSQJPOSRRNNTNOPMPPKQMROHOOOPTQNONSRQQKRMPNTKPNQMLUOPLOQQKMQMMPMPONQPKNPOLNLOSQMMNQOPLMSNQMKQPLSNKSPNLMMRPOLROPNRPOOINP
.a'o mi xabju lo barda zdani de'i da	I hope to live in a mansion someday.	.a'o,mi,xabju,lo,barda,zdani,de'i,da,a'o,i,'ope,to,live,in,a,mansion,someday	😐	ROSOOMPOQOOLUOQONNORMPOPNRORLPPLMNRRPOPNPMSPLMOMRLNRPNNRPPRKQNOLQNRRMMLQNQOPROQOPOLPIPOQQNOMMPKOJLMRONPNNOPSOKMLRRMPONPMSOPOPNPONPMRQOOSOMUMJNOQMPLPPQNSNNPLOONRONMMMQLMPNSOQOSPRLONIQNNOMRNLOOPPMQPOQSMKMLRPNOOROMS[POJLNQLQMLOSMQOQPLRPNMQUPPNSKMRMOKWMNNSMRLLJPQLRLKOOKOPQONOQRPSLMNMOQRRKRMRMOKOJQRKMONKUQPNOQMMQMMNRONRNLOOOOQNLOVQRPSNSOOQOMKRMKQNMJMMNSLNNNOMQOQLMNLNNLSOQPOQNOQOOQPOUNML
.a'o mi za'u re'u penmi do	I hope to see you again.	.a'o,mi,za'u,re'u,penmi,do,a'o,i,'ope,to,see,you,again	👍👍	HLTPPPTPRJMKQONPRPJNLONPLONSLOLNMQQQMIPOMNOORLRMTOOLMPQRPNROOPOPONLNOOPRLQMPPNPNRMMOKNONQOOQMOMMOPOTPOQOOOQSOPQPMTNSLPPONPSOOMQOMQONPORONNNQSRJMPRLQMQPRNNQNSPNSOMMLONLOQPPNPKPTNJLRNQMOKSNPRPONOOQMNOOOONOOQMQNPPLNQOMHLPNPSOLOTRRKMLNTONONUQPQRNNNNQMPPPSQMMPKKSSPUOJMMMQOQPSQOOQNMMNNNKOMJNNUSNMMNMONNQQMPMNPPPOLRLSSQKJOQNNONQONRNSKLMOPRLQOOMMOMNMSOPKQLQLPPONJOOSOOMTQOLWQMLLMOOOSNPLPVPKJ
mi .a'o nai	I'm hopeless!	mi,.a'o,nai,a'o,i'm,'opeless	👍👍	PMOPOPNPOOJKQNLMNROPMPMNKSKLJPOQKQQONOSRMPQQOMMKQOMPNPPPRQQPQRLQTRPPMQMOJQNMQKTSQLNONNOOQNKMMTOTQMIVNPQLOONROMOJTSOOQLOTLPQOMNOOOOQTNROOPNNNJQSSMLRQKNQNOPPOTPMSPMMLKQOOLMMJQRSNNLMMNPONSLPLOONLMONLONNMMLNNQOOOQOONVMNJMOPNONNOUOPNSNSORQORTSMPSONNKPOPOQVNKMPMMOPPMMIMPPQSNPTPNRMPPPQRSOOPLOOQQPPMLQRSMLOOMTMKNQRQQSRQQONOSOTOMOOMNRMPMMOQLSQQQOLOKOOMQOOPMOOMMQKKMOPMLPNONOTOPKNRPPQPQQMSUMPL
.a'o nai ro da ca se cirko	Everything will be lost now.	.a'o,nai,ro,da,ca,se,cirko,a'o,everyt'ing,will,be,lost,now	😐	LOQQSRNMQOOOPPJQLOHMLPMPPROMNMQNNPQROMTKNNLQORPLSPPMQORPSNORTPNNQMMPPSLQONPQQMQRMKLONNPNPMKMTPNPONLUNTQLNOPQOPQPPSOQOPMSMNOROOOOPMKQLQQNPLMNIOPPPNRMLROMQQQIMPJROPOQMOMNOOKLOMRRNONLOMOONORORRQPNPRLMOIONOOOONQNQPPOSNTKIRIOSONOMNKNMLSRKRMOORNRVNPONRJPMPRMJLNLMQPMPOKONLKONPQRPRQMNOOUOONONOJSRROOLOQMHLQPLRORSOPNROSPPMINQOQOPOLPONRPOVOPOPPMSLMPNOPNQOMONUNKOQMNNQPOMPMSKNSNPLNMNRUMNONOPKOO
.a'o ti tarmi tu'a do	Let this be an example to you.	.a'o,ti,tarmi,tu'a,do,a'o,let,t'is,be,an,example,to,you	?	RRPPPONOPPOPPPRORLIOQNOONLPRSKOJQQNQOQMOOOPOPKQPNMJOMNPNLRPNOOMNTONRLPNQOPNMPORPMLNONNOLSNMQNMPPQLLUNSMROLMLPLMPLQRGNNPNOQLQKOOOPLQPSKKOMPSRSPRQKUKPNRNPOQPPVPQPOOQMSNOMOLPNRNQPMQMSPOONOPNPPROPMPNMMNQOJSPLNLOOMJONRQQJOMKPRMPOKUJPRNRPQSLQOLOKRLMNNUNRLSNOPKSOMNNRQQONNNMQPOPMQNNPJMLJPLONKNMSQMKQMPPLGMMNONLLROONRQOMNNLNOPPOOMSPPQSOMMQSIPTSPMNPJTPOOPOUPQOSPNOJNOPPNPLSNPMIKNJQQPQRNPLRSQTO
.a'o nai	Oh no!	.a'o,nai,a'o,o',no	?	ROPOPNNLJNLRNPMPSMLOQQNTPONRLNPSPQLMKNQNMOPMPNONORSLNQRNOIROKPKNQOMLNQTMPQPMRKXRPHNPMQRJMRNNNQONOOKULSMSPOMPOKONQORMQOOQMNJROKKOOQPNQRMMLMMMKOPTKNQOOQOPKROLPQMRRNOQQNPROOMPKNNMSOQQOOOOPMQQLQQLJMNRUNOMTLNQORQLQNNPOOPLJOLONKJOMPNOOOPPOPNMRORNNLMRNNOQPRTLKRNKNOSPNNOQONPTOOLQSNNPSOPROPSMRTMPPPMQONRQKMNNNORNKLQMOSSPPRMOPRUONRRNKPLNNNSQSROSRNNMNQPOMLQPPMRNNSMILRPPMMMPKPNPQNNPPOROPPOPTHOM
.a'o nai cai	It's hopeless.	.a'o,nai,cai,a'o,it's,'opeless	😐	PMONPPOSQNLJPNKMNONOKRMLNQMMIOQRNQRNORSPMPPPOOLJTLNNONQRRSRPSNNPUQNNMQLPKPLQPMQSPLMPOPOMQMKOORQSQOJVNPPJNLMSNLNMSPNPPNPSMOPPMMPOPOOQOROONNNMKOTNOQOPNQPLPPPOSPMRNNMIORNOKPKKSTVMMNOMKONPQNOJQMNNPROLQNNMONOMUNRPOOPORMNKKQLOPNPOOOOPRORRQSPQRSOQPQMNQQQNOOPOJMSLLPPPNRINONLNNOUPPTPPPPQQNPLOLMNPQROMNNRPHLRPLRMKONQRRQPSOOMOSOQONPMLOSUNQQPRLSPOQOLQMNPKQONPMOLLNSKLPNNIMSNOKPSROKNRMRRMNQLQTMRO
.a'o nai cai	There's no hope.	.a'o,nai,cai,a'o,t'ere's,no,'ope	😐	NNNOLNNPVPPKPNNPJPMNNONNNNPMKQONQRRNNPPMPMOROMQILNONNLQNROTNMPLOQLONRQQQNSOPQPPQOJPOKTOOQOIOPSNONOLUMOQKNQOQMOMOSQJQOPNNOQOPLPKOONNNQRORPLOPOLSOOOOPOPPMPPRMPOIRPOMMKQKMQQLPRNSMLMPNRQKPPRQMRMLKLRRKOPQQNNLOOOUNMNMOSLLKKROOQNNOPOOMQNRSQOSQUOPNPRLPNPMQOOPLHLSLNQSOPQKONLNLPPSPSQOTLQRROLPMPPLLQVNOOQSOMMOQPQOMNPNQTPRQPOQOOQNOOOPMORQMOTNTNLPORPMOLMPLMPLTJPLLKROLORQJMPPONMQOOLOOOTROLQKNTHRO
.a'u cu'i na cuntu mi	That's none of my business.	.a'u,cu'i,na,cuntu,mi,a'u,t'at's,none,of,my,business	👍👍👍	RPMMNMQLRMPPQLLORMNPHQQNOKPQMNPQRLSOMOQQONPRRPNOQOMMNRPPQOQPPROOMQMOLOOQNSLLQORQNMORLPQLPNHONLMOLOOTMRQLLQLQNOMNOPNPJRSNOOMPHKNOSQMOSPPMPOQUPNRSNPQQONNOQMQKOPPORNPQLLJRLQNLIKMMKOSOQMNMOMQQPNMQMOQNROPOQNOOLOROPNNSRNPPORJTNMKOMORNNQRQNPRMLOUOSNLPLUOSNROPPRPOLKNLLROLNQLSNOOKQPNMNONQXOOMRONSPQORQOLQOMMQSQOMSKPPPIQQOKOPLRPORORSKQRNQRPPJPLNPKMQMQSMPQPRQMQSNOKNMRPQJONQLONMNONNMSQMQONPNLMJ
.a'u lo cribe cu vajni lo jbopre ma	I'm interested in why bears are important to Lojbanists.	.a'u,lo,cribe,cu,vajni,jbopre,ma,a'u,lojbo,prenu,i'm,interested,in,w'y,bears,are,important,to,lojbanists	👍👍	OQSRSPQQNPJNNOPRPPNLONTPLNOMOMKQRQHRSPRRONQOLOKPNRONOMQJLMRRSROPQJQRMMSONOLLSSQNKMQQMOMLMRPKPKNRROMQPLQMNJKOPQPRRUOMOMPLNOONMLMOTJNNKPNPKOMSQONNLLQONOQRPPQNKQOKOPQLOMMIROLOQSRMNOPSPKOQPPLLNTRPQNOOQMRPMMLOONPQSLPPNQQMMONNOLLONKQOONNNPQLPNOQLOOKIQQLNMRKNMPQPNMNNRRMKNPKOQQPRQPPPPLOMNMQMNONRNQMQRLSPNNMVROORNMOSQONQRNLNKPPONOLQNPOQNQQTOSXLSMMQPKMRMNNLTSMRLORNKMQOOTOUNKOSPLMOMQNNOLNMSNPN
.a'u lo ti cumymu'efi'a cu simlu lo ka cinri .i .e'a pai ca lo nu do fi ri ba'o tcidu cu jbera ri do fa mi	This science fiction story seems interesting. Will you lend it to me when you have finished reading it?	.a'u,lo,ti,cumymu'efi'a,cu,simlu,ka,cinri,.i,.e'a,pai,ca,nu,do,fi,ri,ba'o,tcidu,jbera,fa,mi,a'u,cumki,munje,cfika,i,e'a,t'is,science,fiction,story,seems,interesting,will,you,lend,it,to,me,w'en,'ave,finis'ed,reading	😐	PQRSQLMOMPNPNOKQONNQOOTNNOQOKKLQOMQRROSQOJUQPPMMPKJONNPOQMOIRNKRUONOMOOTQOOMQNQOLLLPJOPONQMLPLLTLPMMQPLOQMLPNNPPNQQQQMNQRPKQNMRONLPTSNKOMPLPNPINMNPMPOLLQONNSPORMONNQNPPLPNONNRLMPLQLNRPNMPPQSNPRQMKQNLOMPPQOOPNQMMNMPQHMNOJPMNOMMLNRMFONOOOSMRLPOMPMRNKSRPMLOONQNLSSIQKRMOMOORQOQRPONPPPMTONPMPPKORNORLMOSSQMMQOPRQSOPMNRMPSOROSQPOPPNOKPKRQTOPUKMOURQNNTNKMPNSIPONONONROMURONKOTPMRNNNOSLOSQKN
ma ba'o se lifri do	What happened to you?	ma,ba'o,se,lifri,do,w'at,'appened,to,you	👍👍	OOTSSNROMLQQNSQONLILHRMRKSMQMMMKMNPOPLQOQPNORMNPRQNOOQPLMTTPSONSSQMLOOPMMSOQRKUPQNMQNKPQPQQRQOOLPMOVMQPLRPMPMNPPJQOQOOPRNQLSLOPOPLPSPQMOONSMMNMNOUPQORPUPSPLQOKRUOLNPPNNMPPNLJOROMMPNLMOLMMRQPNMLNMKONQPOSNONMJMUNNKROQLMNLNTLOOMPMQOIMUQOSNTRQMPNONOROQNPSONLPLMPPQOPMIMNPSRMNPOPNOONONOQOMKPOPRQNMLLPSQOOPKQMOPNPMPMPNROONMQNOLQKPRNNRNQGQNJPOSOPMJPONMOOQOOQQNOKMOLOMOSQNNNPPONOPOPPNORNNULIN
.a'u mu'i ma do latcmo	What compels you to meow?	.a'u,mu'i,ma,do,latcmo,a'u,mlatu,cmoni,w'at,compels,you,to,meow	G−	PPQRKLVOSPNLORJPPMLMPTNMLPKPOLKONOKPSMRONNPNNQPPPPMOMWPPORONLQPSOMNQOOPNNOORPJRPMPNPPNPONOOIKSOMQMKRNOMPPQLNPNLJNNPRLONNMONNMMMOPONPPMLRONQNMMOMPMMPOSOMMLMKNRSMRNLKPNLQQMPNQLOSKPURSKNMPLOQMMPQPHMQQSNMMNNOSONKRRLROOOKOROPQKLOMPKUNPTOTQMOPQRPORRLNOLPMRPNMMSNLMNTPQMMPPPSMNMPTSNNPMPPPKNOLQQPPLOLPLQONNNOTMOMNMROKJRQSPRWOJROMPPQSOQPNMQNPLTSPMLNKQOMMLPSPRQRNKLMOOOMRQRPKOPNLROQSRQONLQMTRPM
mu'i ma .a'u do latcmo	Why are you meowing?	mu'i,ma,.a'u,do,latcmo,a'u,mlatu,cmoni,w'y,are,you,meowing	👍👍	QPSRNLSPQOLKNQHQPIKOMUOMPPLQPLMOQNLQSNRPOMQLNPMOSNMQOTPMNTONNROSMMPSNOPMNLNORIRQNMOONMQMMMPKKPOMNOKROMPOMQNOROKKMMRPKQLONONOPLLOQOOQPMLOOLQRLLOQOMNRNPQLKLRMMQPOQNLLNMLOPOROONNRKOTSPJQNOOPSKOQROJOQSSNLNNPNSQQKQPMOPNOMNSMPQMMOOPMQNQVPORMNPOSMOQSLNULOMPONPOUNLOOTMNOLNQQQOPOSSQMNPOPPLLONKQRNOPQKOJQMMPMPPKPKKNPRMJSRSPTTNLROOOQPRNNOPNRNNMSSPLNNMNMPKPPQOQPSLNMMOOOKRRSPMNOPMUMNTRQPOMONTOQL
.a'u nai ta simsa lo kalci lo ka se panci	Yuck, that smells like shit!	.a'u,nai,ta,simsa,lo,kalci,ka,se,panci,a'u,yuck,t'at,smells,like,s'it	👍👍	QLQONNQNPNOPPSLPOPONPPPMNRRPMMQSLMPRPRONOQQKKQLMPPTNPJQNMIMONNMQSNLRRROQPSMUSMMLOOOROPMMLLPMNPOMLOKONRNKRNNMOLMONKNOOPKQOOOQOHQOOQSLQOONOSKOFNNOKQOLMPONNQQPQPTPSOJNQRNOOMOPKONNUOPOOPOOSMOPNRPMOJLNTVOQOKJNNOLMSKUPNOMOPMMPNLMORNSPQRPULQRORLRQRROLLMRRMSSRPQOONNNLLLPOOMMSLNQLRMQOOONONLOSOSOMOLPSOUROJPOMPPOQNNPOVOMNNRRRLQPOOORQMONOMSMORRPRNLNLNTNQOLPSOOQPJNKLLLNLNMMNLNOOLNRONNSLPNQPROSP
.a'u cai	How fascinating!	.a'u,cai,a'u,how,fascinating	😐	QQPPKNPMMPNSLQLPPLLKOMSPOPNQRNOVKQMRQORNPMTNONMMLRKNPJNNMLPLQTJOPKONQHNSPRQPQOONOMOPLKQINPOOPNOQQRNUNQKOLONOOKNPOPNRQRMORQKNPMQOPNQRUOKLOOPSNPOPJLOOMTOMOOQNRQJQMONQOLQQRLOMKMNOQKMMKNPPQMPQOTOLNRPNPQNQQHNMPNPONLPOMPUJLOOMQMKOMKPRPONSLOSSTPNLPONPLQLMNTQLPQMLKNNVNNNOOPSPPORPNPNSNKOLRNUMPRNRPRMQJNSNOOOOSNOQMKQPRSOOOPPPNPROOPPOPPMRLONPOVQRPUMMNQQONQOPPPOQMOONMKOJNKQROOPMPRPORPPNOOMSSNKN
.a'u cai lardai	I am deeply interested in art.	.a'u,cai,lardai,a'u,larcu,dacti,i,am,deeply,interested,in,art	B−	ROOOPNONPPKOMPPPTPNNNONKOOPNRLKQOQOSPPSPLQMNSMLOQPMMMMQMLNQLPPOOMMOTOJPNMQQMNMNMRNLLOONQNPPOKOSPQNMSPNPNOPLRNOMPMQPPPNTNLOONMKKOQORSONQONPSPNTMNONQPKOOOLSNJPONTNKJOLLSPPPNMPTQOLROPMOONNMOMPRLQMQNMQOIOSKKQQKNRLPOOQQQNNQNONMNORPMPSMMSOSPNPQPJROKPOVNJMRNNKQPKQPNPRMQQPMPSNOOSQMORTJROQNPSMRKOOQOOLORQOSONTRUOLMLPQRJLPKNNQKPOONQLOPPPKQQMPNTLTNOMRNNMLOPMLRKTQNOLMKLKPQRPQQVMOTLNTMMOKRORRPKN
.a'u nai do tolpu'a se sumne	You stink.	.a'u,nai,do,tolpu'a,se,sumne,a'u,to'e,pluka,you,stink	👍👍	ROTPOJQPPNNNNQMOPPKOOSQMMOQLMMNQOKONQLOOPNQMQPKMOPQPQLOPMMNKRQMOQOMQNOKQLQPTSJSNNOOQOOSPKNOOPQMONRKVNQOLQOINNKOQPOLOQSLLNNOSOHNONOPPPPSOQQPOLOSTNSPNOPPOLNPNNPQNSONIPQMNMOMOMOOPSLRPKRNMRMMROULQKNMRSQOMTJNNPQOLNLOPRNMNQMMOPNLOPSPQMPPTNRNNPPSRROLNMMQOQORPNMUOLLSQJLQQNOPPNNPLPOPNQNLRMNPPNQOLNMPOPOKNKMMRMUPNINQORLRPQOOTOPNOLNVOMPLOPSNQROUOOJOMJRLRMNPUPSQSKNJNNMONKQOOLLRQLMPQORROOOROTONP
.a'u nai cai do lunbe solvre lo vi balni	It's unthinkable that you would sunbathe, naked, on this balcony.	.a'u,nai,cai,do,lunbe,solvre,lo,vi,balni,a'u,solri,vreta,le,it's,unt'inkable,t'at,you,would,sunbat'e,naked,on,t'is,balcony	BN	ORMQQMSLMQQMPPRMTOMSPPQOQOPOLOQOLOSMOIPPOLJOOQONMMNOOMOMLPPPPRNQUNLRTQMQLONOQLNPMJQOMONPQNIOJNNPLNIQNRPQJNLLMMNNTQLNQQLMOOSRNKPOQQPNSRLPNRTMQPSPRPMOPRPOJQRNPQNQOQROMMOOJMQOLOQMLPPRQLOMUOLONMKMKPMONLOPQQPMPSPMSRNNRONQMMRORISOOPLMPOLQKNOPPMRQOPISOPQRNPPMQOOOIKROMQNNNMMLRMNQOQMRNNQKOMRNSOPSLPLQONPLLOPOOROOOMQMUKLNMKNPOSQOMMRMQQQMQOONRSKRQOOSNNOPNRNNRQQLOQIOQQNNLMPXNNPKLPLONNPONOMQULFO
.a bu raunzu .i je ku'i .by. na go'i	A is enough, but B is not enough.	.a,bu,raunzu,.i,je,ku'i,.by.,na,go'i,a,i,by,is,enoug',but,b,not	👍👍	QOKLLQPNPPNKRORVOLHMMMONONMLRNPQNNQMPNOPMORRMRNPNPMOLMOQLOPOLSPPUPLLKUOOMPOKMOPQKOMTPJOJMPPORORONMJSJQMQJNNRTQUOQPRMPNOPPQOMLKPONOQTNPNNLMKPPPVPTPOMNMMMMNUQOPPONNNKMPNKOPNQRNQMLPQOTQQOPQLRRPMRNRPNPMOLQSKNPPNNNLTPOOPNPPNOSKPOQRMQPMUIRSLNQLQNRLPPQPPPOSKQNMNKMLONNNLRPQPSPNQMSMMOOPOMLNQMOOPOPPLTRKQSNOMSNLOMHRPPOORLOPPPSNNOOPMLQPQLRPOPKRMNLILONNPRPNMNPPQONMRMPQPNOONSQKKLLNRMPROLMOMOSSOQ
ju'o .ai mi ba zukte	I'll definitely do that.	ju'o,.ai,mi,ba,zukte,ai,i'll,definitely,do,t'at	G−	JJNKOMNRMLPNNPPRPRKNOLQMROSQLKMMSMPONOPONQPRMTNNOPTLNNNROOQMPONNNOSTQRORPONLQJLRNNMLNPROLNPPPPPPONNPQMNMPNMONNOQLQNVLORLQNQOMMLORQNOUNPOLOOMPOMLNNLPNIPQNQPKTOQMMRMPONPOLSLMPNRMPPRMOLJOPHRMOONQMQNQPLNPRPSQQSLOONNRQOPNMRMPQOKOQPNNQPOOMOPNNLSNQNORMSNRORUPNRONNMPOPPPSTLLQPMPOLSQPHQQMSMMLKQOMRKPOOPJQROPKWMRNPOQQUPQRPJMNTJPOPQTQPQLKPNQKPNNLMLLNLRURMNOQMPNORPNNLPOSPLPUOLQNNPMLLPQPOQQQOOJI
.ai cu'i mi tu'a ti ba te vecnu	I don't know whether I'll purchase these or not.	.ai,cu'i,mi,tu'a,ti,ba,te,vecnu,ai,i,don't,know,w'et'er,i'll,purc'ase,t'ese,or,not	👎👎	KNOMOQSQQPQNNLNPORMPMPLPMQMPONOMNPSKPKOPMIMQPMLQPOOLNNNNLLOOQJLMMPQSOOKOQRMPTLNPJNNNMQPRMNNNMNMRNLNVSMOMNPISSONONONONNULQORNILJOLPMONQPKPOKPPNPPONPQNMPQQNRPOQPPPOMULNOKQRPOQOQOQLNOJNOKOMOMOONMKSRMNMPOQMRPOSONQQMTROQNQNKOTOMOPSNPPROOONKPOOSKQNPOJRMOMOROJROKLQPQNPOONPPNIJRPQPRROOMNRQQQMPMOSPQQPQOOMLOPPSQMNPRSPOOPOQOSRLSORQQRNPGPMQQOPLOTQONNMPVPKQQQNSPRRMPHJMPMKHOSRLOOMSMLQONNORRPSLOK
.ai mi do da tavla	I have something to talk over with you.	.ai,mi,do,da,tavla,ai,i,'ave,somet'ing,to,talk,over,wit',you	👎👎	LMRNQKUPQKKNLQTPPNLPJQNNKOMNOOPOSQLRNMROPQRPMNMNSQLRPPRSMQPNOPMOMOMUMROROQOONMTSRMNNMIPPMONQOORQOSLSPORLPTKQLMNOLSOPPNSOPPLRMPPOQQNTPQMNLLQPMMPLPOOOOKMTPQOLQPOPNQMOMMMQPOMNONRMKOKNLLJMNPRNRQKMONMOPMMNMQPSRLNPLMMQPLNOOKLNQMMOORRQONPNMNNNPMUMRLNLMWMMMOPOQPPLQQOOPLNKMJNRRMQRPNSQSPNNQPPMKQOLSOOJPPNOOSSRPJMNPOOPTNNROONQNJQOPLONQNSNQMPQKNQPOMPQMKPRPOMTQPQRLPPHNKNLOPQTMONJNPMMRRNPOSNQTPHO
.ai lo'o mi vimcu lo kanla be do	I'll gouge out your eyes!	.ai,lo'o,mi,vimcu,lo,kanla,be,do,ai,le'o,le,i'll,gouge,out,your,eyes	GN	OMQNNOQOLMOLQOMOLQOOSQKMNSRKKONOJOPONMPPMNLPSSOOOQKNMOPNMLPPNNMQMMQQOQOQPMKPOJSSOKPOKMMMMPNPMOMNNKISONOLQOMPRNPQONOQROOQPNMQRIMONOOOOQNOKPLLKSQTOPPNLOOONNOKORRSPQNPLPLPOSPQNOOQNJPQSQNNPPOONRNTQQNQMOONSLJNQOQQSSNNTRONONPQOKMOQNRNQPSVSMMPPLPOQMMOHLQNRRTMMPQMJLOOKNNOMNTRMOOQMRKQNQNNROOPNPJOSKOSRNRLKOPPUNMRORTPRMUQLOKNQNROMNSOPNJVLKPPQOSQONMLKOPQOONRLSRQMPMLNRNNJORSKLTOOQOPOQPMRNMQROPK
.ai mi ba cusku lo jufra be lo mulno se ciksi fo lo ka ciska fi lo .uitki	I am going to explain it completely on the wiki.	.ai,mi,ba,cusku,lo,jufra,be,mulno,se,ciksi,fo,ka,ciska,fi,.uitki,ai,le,uitki,i,am,going,to,explain,it,completely,on,t'e,wiki	😐	LRONRMQSPOSRMLNNNLIPQLPOONQRRMLRRRJRSPQNQLORORPKLNOLMOOLLNQMRPLTSKPOOLRMPMOMPPOQRORORPNKNQOIPPNMOONSONNPMJPSPKOMPNJSORRNPOKQKPKOQPMPLKMMKQTONOPPJROQQQLLOSNPOQORNPRROMQLMNJMMQPMQRPOPNNOMNMRQQMSOTNNRLOOPPLPNOMRLMMNKNQPPMQQNOMOMNNNMPOQOROOLQOMNMLOQVMOPPSQONOHIKMOQQPMUKNPMOSQOMTQTMMRNPMNNMLSPQMPNONQOOQLOLMJNNPOQLONNMMMSSOONPQQOQUNORPRLMVRPPMPOMRPPSPTQLLSKPKRLNONOONXOQNNNNPPSPLMPQNNQRQM
.ai mi ba co'a cmoni	I'm going to scream.	.ai,mi,ba,co'a,cmoni,ai,i'm,going,to,scream	😐	PMOONNQNPJMIORMPRSMPQSROOROKOPOIONRNQMSONMOORMMNONPKONOORMQMOLPOKOPPLUNPRPMRRMSOSINLNQQOLPOMLRKQKMLWNRPHPNOOONRQNSPOMOQNRONQQPGOPQQSLPNMLOPMKOQQNQMOMRORSNOKQQKONQNPNPMNPPMNQQOQLNPNNONOSIRNNNNQLQPNOLOKMOMQPNMPPOLOTONMNQLPPRPOQTMNONRQNNNRRQSLTSNPKQMPMQRONJMMNNNQQPONQPOSMPRQPRNPLRONMOMMKSMPPMLQOOOQLROLRNPJPONRPMSSMNISSLQOMORLPNNNOQQNQPNQOJNOHPQPPNPSOSPRLMHLONTMNOOQKLSMNSMOOSRSMOPTSJOL
.ai mi ba cusku lo jufra be lo mulno se ciksi fo lo ka ciska fi lo .uitki	I am going to explain it completely on the wiki.	.ai,mi,ba,cusku,lo,jufra,be,mulno,se,ciksi,fo,ka,ciska,fi,.uitki,ai,le,uitki,i,am,going,to,explain,it,completely,on,t'e,wiki	👍👍	LRONRMQSPOSRMLNNNLIPQLPOONQRRMLRRRJRSPQNQLORORPKLNOLMOOLLNQMRPLTSKPOOLRMPMOMPPOQRORORPNKNQOIPPNMOONSONNPMJPSPKOMPNJSORRNPOKQKPKOQPMPLKMMKQTONOPPJROQQQLLOSNPOQORNPRROMQLMNJMMQPMQRPOPNNOMNMRQQMSOTNNRLOOPPLPNOMRLMMNKNQPPMQQNOMOMNNNMPOQOROOLQOMNMLOQVMOPPSQONOHIKMOQQPMUKNPMOSQOMTQTMMRNPMNNMLSPQMPNONQOOQLOLMJNNPOQLONNMMMSSOONPQQOQUNORPRLMVRPPMPOMRPPSPTQLLSKPKRLNONOONXOQNNNNPPSPLMPQNNQRQM
