@rowCount	3393
w	d	n	t	g	r	q	v	s	b
tendo	$x_1$ is the tendon/ligament/sinew attaching body part $x_2$ to body part $x_3$ in body $x_4$	see {xadyskoterjo'e}	experimental gismu	tendon	tendo	KOOPNNSQRNVOSQONMQLPOSNPKOPPONJRKRMPPLMPOLPKPUNROPNOOSRQKLLOSQQQNLQMMOONMQPOTMQPKOPRLSMOLQOMPOOOPNKOOOTRLKLQROPONLMNMQOPRPKOLLMOOMPJHNMNLMPNLSNPKQLOPQPONNPMKOOQNNOKPMNOQKKMPNPOQLQQVMRNNOJQNKPQNOLNPNNMSTMNMUPQMOPOQPRKMOJOLRPOLROPNMQSPQNKJLRRNOKSPMOOQOPLNPMLNMNNNNPMTNTRNNOMLQNOSLPNNOPMNMOPOQOLLOOROMPLMLMQMMNNOLPVONNRLPPOPOPJORQQQOOPQOQMKRNJSOSQNOMQJOTLNMLRTMNQOMQTPMPPNMRNOLJPSPOQQSSQ
tenreka	$x_1$ is a tenrec of taxon/breed $x_2$.		fu'ivla	tenrec		MNRNNQPNPPUHRQNOMNPQOTPQQLMQPNMRMRPNQOQSNMPMNQLQMOMNISQQOMMOPTNQLQMNPLUNNRLOSONOITNMNQMLLOOMRPNOQNLPNONPLMNLQKMNJMOLMMNLONMRQNOOQOQRPOLPKKNPGQPPLQLQNQOMKPOPMQQLQONNRLPPONOMOMSLNKSPQQMPORLSRNPNNLNQTQNOQQTORPPONPNOLNRNOPNQQMKONMMQLMPSMNNNOJTNRPLQQNLINRPSPMMNKMMNNKMNQMOSPNNPRRSPQPOPMMPNNOMPQMLNMKOQMKKMKMRQKMNMOLQVSNNOMLPOMOPLPNNQQSUPKPPKPQORNRNNMPOSOQRPLMOSRNRNRNLUPOPROMOPOKIMQMMQSPSR
tentaku	$x_1$ is a tentacle	See also {jimca}, {tuple}	fu'ivla	tentacle		OPSRNMWMUNSKRPSOOOMPQSNOOPNMSMMRKPSROJPQMMPMLQKOOMLKNQSPNKOMPSTRLONNLOMNONKORNPQKNPOOQQNJNQPOPNOPMIRQSPONOPNRNNJOOMPMPMPPLPPQMKOPMPMSNKQLOJNIQPPJOOPMLOONOQLLROLNOMNRNIPNMLMOPPLPKQPNLQMNRMQNNPPPPNPSMMOTRLJPLQQONQKOORNNPKPSKJOMONNOOPPNNLQNLTPRNMQPLMQLTSPQLOMJQOLOMMMNMNSONNOOLMLQLPRNOQQPPQTOQLPLQORHPMPNKRNPOLNPJSTOOMONOTOLRPMQNQNQKRQMRQOMNQQSPONMQNTNQOQMQLOPMPMSOMQNQRPLSTOPNNNQRNOPQTO
tenguuar	The Tengwar script.	Confer: "{jbopomofo}".	cmevla	Tengwar		JQOLOPRONQOMQQMNNMQHOTRKQNMNNOOSLTPRQRLOOPRMNNJPMRMMQNUKPOMLOOGSQNOSMPOPOMJQRMSJOPRMOOPQSNMMQQMRKPJSPNPMMOPPOMKQPOQPSOOOOLKQMOROQNNOQONQIONPNPLMNTPMNTOOQQOPRQOQMMPOMMPOROLMPNMPNQPUOMQOTPSPQNNNPLNLPSMONRONRLKONROMNMOJNMOMPPNONPJSLPQQOPONQMSNSRMORSONNPRPJOPLISOPVOKNSRLQKOOPNLPKQKMRPMNQKLPLNNPSQLMNLNMPNOMQOONRSQRSTRNRRPOONLNOMPOMMTSMKQMQNMLONQRRLSOONRMSJMLTQQPNNTOROQOLNLNPNQMLNKORPQOL
te ni'i	{nibli} modal, 3rd place                            entailment under logic system ...		cmavo-compound	under logic system		RNNMPOSQRQQMRPRQPOMJTOLPNNNOPMJRONROQOPRKMOMQSMQMOMPOPQQMOKJNOLSUONOLONLMQORTOPNLPOSNLLNNPQJTQRPLMQSOTOLOPOORLNOQLMORRRGMQNOPMMONQQOMPNRKRNNPKPPMPLPQONOOPQKPNSMNPRPQLRNLOOMOPKNSPQOSOTOOPQQOMOONOKKTPLNRQPMKNNOMNKSRPMJOMNNNRQONPOOOMRMRNOPPNQROMKTPQIOQQOPKMNJMOKMRNIPOQNOMPMPRMNKPQRRLNMOOSOSQOJTOJMNKMPROMLMMLPTMMTPNPKQPSKOKPPPONQOMMMPLKRNPOLMQRMQNRPRQSNQQMSOLQOKLNLRSNMMLLLMMRNOPMKNQRRP		BAI*
te ni'i'e	{pabykanpystika} modal, 3rd place (evidence) with strength of evidence …		cmavo-compound			ONNLRONPQPQMOQOPSQMNMLVNPONMPKPONLSROMQRPNRKMSQQNOLNNONNPNNLUSLPUPONMRTOOPOPPNPLQOORKKKNJPRMPQRPLPPRNTLNRMJMSQNMMQONPRLJOPNNQLMOPPPONOLONROPRIOSKPMORNOONMRPONQNQMRPPLNSONPORPMLOORPPMPSKTSQQQMQLOKMSNOOPPOLKOQKMMQRPPNJMPMNOLNOMLPNONMLPQMNUNNOOMLPULMUPRPJOLLNOPNPUMLQPTLOLPNSRNNOOQRQKLQQNSLTUOKROPNMMMQSNOMOQJPSQPSNNNLMOOOOONSOPMPQMNMOLKOMPNMMMRONPRNQMOOMOMPNOQNKMQPSPNLLNJLLNSPSOOIOURRR		BAI*
tenpi'o	$x_1$ is an accordion.		lujvo	accordion		OOPQKORMXNTQQMPOOMLLORNQNNKPSQLNMOLSONORMKQKLNHONQNLOMNQMQQRPSQSMPLMKOOMRPRKQMPQOSNMOTMMIMNMQROQQOMQQQROKNQMPKNLOKNNLMQNPMKRPNPONPSMRLOQKRQQINRPLRLLMPPNPRONKPMOMNKMMONPONMONRSMOJQQNNRNPRMQPOOQLLPOTKMOTPPMNORNMMOPPMQMOOGROONOQROLPMSTNORPONPRQPNPNNOPMRSPQPMJLMLJOIMKPMPTPQQPNKNKPOOVLNMOMTOQQOMONMRQLLJMQMQNPNOMOPQSNSPQPRPOMQPILNQONLQOLQNNLRPNPOQNMQOPNPMPOOSNMKPKTMNQPQPNPPQKOOQMPSONRSUO	tcena;pipno
tepcai	$x_1$ feels horror / is intensely afraid of $x_2$	See {ii}. This is the regular form of {camte'a}.	lujvo	horror;terrified		MOPSQMSLSJQJRMNPOOMRQPONQQQPRNNPNPQSOLLNKOOPNMJLOIMMMQOOKMPNMRQQPPNNRSNOOONOSMOQQPQNOQKMLSOLOSSOMQHONQNRLKOLONKLNKKNMJQVSOLOPNOORPNJNMLMKPOPKPMNPQNNNSOQMNMNPQLOMOMQNQPMNNJPPSNOKNPPPRQNSNMMOPQLMKLMNOJPPQMJMOPQONONQNOLMPNNPMNOPMLPKNSSRPNPPPSONVPQNQKQNPPPOLPOOSNOMLNKOPORNQROPNQPMQORMKMOQOMRPOPRNNOPIQOMNOPNJQORNRPRKMMQMRQOLJOJRLONMORPNPNNSUONPQOMPRLONQRNOPKSTLQOUNRRLLTIQOQPKPSOMROQWPNR	terpa;carmi
tepcau	$x_1$ is fearless/intrepid		lujvo	fearless;intrepid		NPOPPNUMQMSHTMNOPNNONPQPMONOUONJNPPPTPQNLMONMNKLKLLMMNQONOOPNQQTLPNOPPQPNONOSMQTOMOOONMKMOOPOSMPMLGQPROSNLQLOQMHRPPOLMQQRSONRLPOQPORMNOOISQOKQORLPMNMNOMROQPORLMJNOKNMNQMOLLOSOLMKPOOPSNQTLMMQOMRLOMOQNMNQNJQQPPOQPNQMRNPOOOSNGONNPNMNPQUNKNPQSNPNNPOMITKPQPQKNNMRKOOKMONPPOOMPNMPKNOQQPQLNNOPORORKQNNRPKMMNMLRNNQLOMSPSNNPQMQPOPPMMNONHNQRONRPMPROPQSLLPQMMLSOPNOPQULPQSPOOKQSLPOMNPQRPOPPRUNVQ	terpa;claxu
tepnunsla	$x_1$ is a fear holiday celebrated by $x_2$ with activities $x_3$;  $x_1$ is Halloween	cf. {terpa} {nu} {salci}. see also {tepsla}	lujvo			MQQRPNSJRLTKSMPPLPMQPPNQOPNMRSMPOPQQQKOQJKQMPRMPMNQRMQQOLKOOMSQPKMMOQQNOQQMNTNOQQRRPLPHPORNPOTNMPOHPNRNPMMLLOMNKNIMSMMNSSRMNOMOOOPOKPNMNJNROJPNOOQOQOMORNQQONQPNPNLMONMPPKKOMQPLOLSOPQQMROMLNMPMNLOPONMPPNNOQNRRMOPLOPRMNMLOOPOONOKOMKRPQOJOLQTORULSNQKMLPQOSMNNOROMLJNJQOOSNRNOPNOMMPPSKKPOPONSLOOQMOPRHPINOOQQKONQMNRVJNMQLROOOLNIPLQNRPQPLONMQQQMRPOKMPNQMOQNNONRRKQNTKQQKMRKNOOPLNPRNQROTPPR	terpa;nu;salci
tepselspaji	$s_2$=$t_1$ is alarmed/startled by $s_1$=$t_2$.	Cf. {spaji}, {terpa}.	lujvo	alarmed;startled		QMQSQMUOSMWMUMOOOLORNRQPONQPRRNOPOORSNPQLJPMQRMPLKLLLMQNMQQLLSQPLQOMRRRPPQONWOQPMMOMNOKOMOMLQSNOOMLNPRLRLKMOPNMINLNSJOPPSPLMRNOOQPMNMNONMSNPLQOONQLMMOMROQOPOQOPMNJKLNOMPNMNOPLLLLQQRUPKPRJOMMRNRONONRMNROOKOPSOPNOPMPQOLQNOQQJOPQKNJOVONMIMLPQOSQNTMJKMPQQRMMLNORLNNMNNOORUPPQOKPNPQOOQMLLOOMOSKPNPVLSRMMLNMNOOOONMLOQTNMLPOPQOMPOLSOLNOJQNOPNLPPOQQPLNQPLRMMONNNOPSLSOSNNTMPSMROQNNNQQNNMPRPOM	terpa;se;spaji
tepsla	$s_1$ celebrates/recognizes/honors fear holiday $s_2$ (event/abstract) with activity/[party] $s_3$; $s_1$ celebrates Halloween.		lujvo	Halloween		OROQOORJRMSLROQSLTOPPMOQPPONPQMNQPPORJNPKLPNPRONLMTRMQOPLLNNLTQRKLNOPNNOSOOLSNNQQQROPQHQMRMOMTNMOMKPLRMPNLKMOOPJPLMRMNPPTTPNNNQOQPOMOPNLLPPMLQPPKRNPNOOSOQROMPPNOMMNPNNNQKJQMRRMQMSNOSPLPMNKOLNLLKQNQMNOPLOOQMRPOMQMOPQMNNLNQQNONNLONIOMROJPMPSMRSMTLRKNMOSMVLNNPRPQMJOKRNMUORMOOPMMMMPPKIMOOPMRLOORNQPTKPLLOQSPLQOPLMRTJMMQNPPOQNNINMROROQPKONNOTONPPMJMONQNNQONPMORLQMUITOINOKPPOOMPPQPPSNSQQR	terpa;salci
tepsne	$s_1$=$t_1$ has a nightmare about/that $s_2$=$t_2$ (fact/idea/event/state).	Cf. {terpa}, {senva}.	lujvo	nightmare		OOSQNNQLTKQLVNNPLNORQPMOPSNPQRLRMPTRQMOOMORONQMMKNMPPNTPLPNNORQOMOOQNRLQNQPOTOPQOPRORPLKOPPHRTQPONKNNRLOONMMPLOIQKNNMNNRNROOOLNOSQMLPNLPLPNOJNQQKPMNLSPMOSSPNQNONOMNOMNOMPILOQRLMIQORPRKOOOONKRMNMMNONNOPOOMPPNRLJQMQRSNNNKLPNKOLNLNMISONOJMMPTLQPNVNJHPMSSNPKLNLOMPJJOKQMMRPQPNROPMNQNONLNSQPMRMQLSPNOOLQNPLOSPMOMQPNQULMLOLPOOLMRLOMPOPOQRJPLNORPOQROMOPLSOMQMQPMNQMSNUOPRMOOLOPOPMPTMPQOPURPR	terpa;senva
tepspaji	$s_1$=$t_2$ alarms/startles $s_2$=$t_1$.	Cf. {terpa}, {spaji}.	lujvo	alarm;startle		OOQPPPVPSMTMUOQQNMOOOSQOLPPOPPNORORTTNLPNJMMNSNOMMPOMNSQLPPOMRPNOOLOPQLPNSLPUOQMIMOOPPLMOOOKPTPNOOKNORNSPJMNQKNJQIPPLPQQSNKMPLQOQSMPMNKRLROOJOQQOOMKKNNSQQQOOPPLMQLNPQLLOONMPMNNRKROPQNNOQLMNMSOPLONQPMMUPNPOPPOONNNPQRMLPLOPQJOPQLLLLVOMQMLOOSPTQNSMKIOORSRNLMOORJMNLNLQNPSONPOJMOKNMNQOMMMPMPRLNMSQISQNMIMNNNNLLNNMMTTMOMSPSNOKMPKRMNNQMPOMNMOPPPQSSNLRRNQPOPPQMNPSMPOVLMRKMONQOPNPLQPPNNRQSQN	terpa;spaji
tepybi'a	$x_1$ has phobia of $x_2$.		lujvo			RORSPOWNSNRMTMPOMMLRMSQPMPOLQRMPPOPOSNOOMMSLNMMNOLLMOLROMQPPNSRQQPMNNTMPLSQRVKQQOPSOPQLNIPPNPSPPNOHQOROQNNOKMMKIPJKOMMNNRONOQJLOQONMOQONMNPMLNRQNMMOPNPSORQOOSKOJMKOOPMNPNIOOSQJKMPPPQQJQMLPMMRNOMOKONMNPOLIROPNPLRNPPQMNOPLQPJOKONMJLSTPMONQQTPTSMPQNNPMRPMOLNRLPOLINNMRMQRRRSMOPPPOOPOMMMPOOJPORNRRMOPLPJPKPRRMQPNQONSLOLPNOQOPIQJPQMPOQPPKRMOPRPOONONNPLNLPRMQQNMTKPNSLPRMNPMRNPPOOOQQQOOVPOQ	terpa;bilma
terba'a	$x_3$=$b_1$ is a mark/spot on $x_2$=$b_2$ of material $x_1$=$b_3$.	{te} {barna}; see also {cinta}, {xinmo}	lujvo	mark material		ONRRQMUNTMULUPRPNNOQQQPNRQNOTPMPMSQSQLSOLJPLQRPPKNMNKNQQOMOMOSROOOMONROOPQNPTONPJPQPOQLKONOOORLNRRNNQPMQLKMMRKNIMKIOLNONONMONKPOOPNIKOMPKNSMITOPOLMNKOMROQQNLPPNPOKPMPNOOOOOMPOKMIQQSOPKPPKMOLTOLNOQPPNQRSOIMNQQIOMJLPTLNMKNMOMOOQNOMKSOOSMMKNNONQNRNKNQOQRNMPMLOOMLQLNLRLQTNONOONRMSNPTJOOPPNPQMOPNNNPTLPNMOOMOOMLQONOTLNOQMPMONNQHMPPMTMRNJMNNLPOQQOMONROTMMQMRORQSMQSQKNRQPORNLSMNMNORSPORRRP	te;barna
te'o zei dugri	$d_1$ is the natural logarithm of $d_2$.	See also {te'o}, {dugri}, {reldugri}, {pavnondugri}.	zei-lujvo	natural logarithm		OMQROJQNUQSLQPRPKPMUSQNTQPOKUPLPOPONPMSOLKRLOQMNOQOPJQQPOMMLORPMNNMOQQNNPOMNRPPOLQPQPONOPQOQPSQNPRONPSKOLNNNRORLLNPQKILOQSMOQORONTRKKUIPKSNOLNMPMNQONMKPMOQPMPPLNNLMORPQMMMMNOMMNIPPOPRLPSKRQMSPKNORPMNNQRQLQQPVKOOPONOOOOKNRPLOLTLOLMPNPQOMJNRRLQLRPPLOPQNRSQNNMJMNMMOMPOUSPLOKMOPJTOQQPRONMQPQJMNROKMSMQMOMMRMPQOJNMRSLMINKMNOLMOKQQOQOMSOLPMNMLPPQPPNPQPTLMQQMPMPSMPMMKKPLKQOOLPPPJQPNPNNQQQM
tenbriio	$x_1$ is a mealworm/darkling beetle of species/breed $x_2$ (genus Tenebrio).	Synonymous with {cinkrtenebri}.	fu'ivla	darkling beetle;mealworm		LMQOMKSNPKUISONNTMNLPTPMPMOLPONROQPOMMNPMNRKJQNPMNMLMQRNPKKMQUSQMQKPONPOOQKNSOPOITQMMPMROQPORRLOQNJPNPOPLMPNQJPLPMMLQNOOMPKLSNLOQQMLRNMQLNPLJPQSLQPROPQONRNPNQPNORMOQLLOOMMMPMNPPKPPWPONQPMOQMONQMPOPMPMPPQLQMOPPNMLLTQORQKLMQLOLOJQNNPQNNMQLLTPUQNOPPMKMSVTMNOOQLNONKQNRMPQPRLNPOTNROMONNQMKOPULPMQMKOPPRNOPPROMNQNPILVRMMPLLROPKNLOLPMTQSNNQNOQOPONPRNNPNNOMNSPMORNLTOOPNONOOQONNRNNJLTMOPSPRO
tensori	$x_1$ is a tensor representing/meaning $x_2$ with properties $x_3$		fu'ivla	tensor		OLQQOPRLSLRLOQSSMPNQNQNQNRPMRRMPNRPQOKOQONRPOSSNNOMPJOPROOLJPTQOORNOPNNNKQLOUOSRJOPNPQOLNNRMPUQOQPMPPNLQMNOKNNOMNLLPKRQNQPOPNNKONOOMMPOPNPMRJQLNNOOOMQLQLOOOIOMLONJMPNKOPPKJMPPMJGNMPOQLNTNMMNUQLMNPQPOTNNNLQMOTJOPNLQRLPMJONNLOLLMONKTQOPNMLLRQOMOPOOLPLPNNOPNLMSMNONMPNPPWPNPLNKQLQNMQOLQQQKMQNPMORMNQLTONPPUPNMPQQLOTPONNJRNOKMRLMORORMPNKQNOLQPRTOONOLPUPNNNQPORTJORNNLQSOPPOPQQLQMOMSNJRQRK
te'odlito	$x_1$ is a theodolite (surveying instrument)	See {jganu}, {merli}, {tutci}, {tumymre}	fu'ivla	theodolite		NQQNNMQNSORLPOOPMMQRQPOQQQONSPKPOPQTOMNSMMRMMRNMLOLNMPPPQMOMPUOOOSMKOOOPPNNNRLNLNRMPOQLOQLROISOORONQRRNRKNLMRLQJLMKQLQLOOQPRQNOOPSQMLOMSOQPPKQQMOPKPMMNQPRQSJRPPNOKPOLNOOPORNNNMPMMPPORLLQNMQOPSNNOPUNLPQSOMMLQQIPOJPRVKNMIOLLLONPLPMKQRMQNMOMTOPOLSQLMNNRONNOKMNNMORNMMQQTQJOPQPMONRMOPJLLQTOLTPSOQOSQTNPMNNMONSNPOPIPRLPLPKNQONPPJLKPKNJQMLQPLQRNQRORJNTNQMNPNPQQTLMPMRMLRTOONNONNSMMQSPJNRQRL
te'o'a	unary mekso operator: natural exponentiation operator exp, where $exp(a) = e^a \forall a$.	Approximately equivalent to "{se} {te'a} {te'o}" possibly with {ma'o} included somewhere. This is mostly useful for abbreviation and for being careful in distinguishing functions from numbers (since $e^x$ is a number and not a function; this word is $e^{\#}$ using Wolfram notation). For example: Let $D$ be the differentiation operator with respect to the first variable of its argument. Then $D(e^x)=0$ at best, strictly speaking, because $x$ must be just a number and so the differentiand is a constant (in fact and at worst, it may not even be a function, in which case the derivative is not even defined); we accept this notation to mean something else (which will be shown momentarily) because few other notations are convenient. However, what we really mean, and what this word facilitates, is: $D(exp)=exp$; this is true because the differentiand is a differentiable (and special) function. This word is related to {te'a} in a fashion analgpus to the ordered relation between {fa'i} (resp. {va'a}) and {fi'u} (resp. {vu'u}). The domain and codomain sets are purposefully vague.	experimental cmavo	exp;natural exponentiation function		LNNSNHRQRPVNNPOQPQMOQQLNQKPNUNLNOPMUPMQOMNPPNOLPMMPTKORLMNPMOQSPONPLQSLMOPMOSQPSNOQLQRNOQPLOOOQNQQLPMSMQLKPKPNNKMMONMNROQPJPPTQOLRNNMQKNMRPULNPOONQNPPKROOQOOONPMOOMLMRPMPOMLNQNRHMQPLRKPRORMLSQMILOOOPRRMPNQKOQMPPPSPMNQNKNMOKOKPMPNORRSJNRPMPSKONQMNMNNSMPOONMLMJNQPPQOPURPPOLNNQOMQLTNOOQNOSQHRNMNNSOHMLMRLQQPTNLKMRQOMNQIKPOLLSJRMNMOMSNOIPRRPNPLSRMNONOOMPQQOMPPMNOOLQUMONLPOQQMNPOMOMQQRRN		VUhU
te'oi	$x_1$ (set of points in time) is a time of [bridi] taking place.	The inner bridi is realis. See also {xe'ei}.	experimental cmavo	time		MNPPMOSNVLVKPOPMNINOQNKUQTRPRPMSPOORQPRNLKSPPRPPMPLSMPPRMNPLOSQQNMNNOOPOKLOMRMQQPPPQPOQMOONMNSNPQTPQPNKSNKPNOKMGOMPQNNQOMQKMOOTOOOOKLOHOKMPKJMRRNORLOPKMOPRNMQORLQNQPNNONOKMPLPPNPNPQMOPORMRPMROMLMMWQMOSPPLROOULMPOPLTMLNHMPOKOPPLQNKLRRSPMLLOMUJLPPLMLPQRPMOKMNOKNQKMMOOMRQPPOMQPNQPOOKNOPNNOQQOLMOLSQKOLMOPQPNNRPLMNSOMOPLNOOMMONOMQNRPUOMMNQONNPPQOMKRPNPOQRTPLLPSLQNNKOQQNQOMNRQMPTSLNMNTOQ		NU
te'oi'i	mekso ordered/non-commutative n-ary operator: tensor product/exterior product (of tensors); letting "@" denote the tensor product, $A_1$ @ $A_2$ @...@ $A_{n} $.	Frequently denoted by a circled saltire. For all $i$, $A_{i}$ must be a tensor itself. In order to operate on the level of the space as a whole (such as when combining vector spaces via the tensor product), couple this word with "{kei'au}".	experimental cmavo	exterior product;tensor product		LLPOMLSOOJPOOQNSQQNORRMNOOQNTNNPPQPTNMMNPOOQQQPNOMJOJTOQLONLSRQPPPMQMPPNKQJPSMQQJTOLQPNLMMOKOPRORPKQNMLONPMIPOMMKKKPLQUOOOOOPROOMOOOLNNNOPNUOSPORNPMKTMSKLQMLPKMMPLOJMNOLNLNNMNPQKMOSLRMORQNIOSQKMOPQQNTOQNNSKQPNSPMNPOMQPKPOOKOPKLNOMSNOPLPSMPSPOQKOONPJNOQOQQKNRMPPMLLMQQUMMMINKNOOMLSOQQRRKTMPQNMNNSOKPNOTPQMNOMSNLPRRMQNISTOOLTLLNSMPOSMKMQOOQNPRSRMMMQRRLMRPNMUQOMQLNRQQQPOQPQQMPNPMNPLOPPP		VUhU
te'oi'oi	terminator, mekso: terminates the listing of an ordered sequence of indices for a tensor	Terminates members of selma'o GAhUhAU.	experimental cmavo	tensor index terminator		OQOQOPRLMNNNMOHSMPQPRTLOOMMPSPMPRSOPKINPSQPRPPNPMNIRJRQMMMMNQPLMQORNOTONJQOQSNROILSMNMNJQOOHRPRNPROPLNLOJQMLMNONQMNQNQTRQOOSMRMOOMSLOQMNLRKRPQQKSOMNRRNNMQPKMQIOPQONNNOKNPMLMNRQQMNONQMPQRRQKPRRMLOOQRMQRONPQKMLPRRHQNNNNOLPQMLOPKNNMKQOOOROSMSOLPOMNOMOLMOROPOJMQPOOPORRSQURMMSOIMMQOKQNOOOOLQMTNNNONPMMRLOMQQMNQOSQOQSPPPMRORONKONRMNQONROLQQOOONPMOPPJLRQQROSOMJRPNOQOPPPQNNNOQOOKRQLLPPNRNQN		TEhOIhOI
te pa'a	{panra} modal, 3rd place (property)                 contrastingly; contrasting in property ...		cmavo-compound	contrasting property		RPONLMPMRNPMQNROSUMQRMPNPQNSSMNRNOQQPPPRONQKOSROOJOOKMPSPQPLUSNRWMNPHTVOTPNPQQPLNMMQKMLKPSNNQQOPNOPROUMOPLLNLOOMKNMPPNRJPNPMPNQONLNOPNLOKSRPPNOQOMMOPRMLNLQNNNQSRNPPOKNQKKLMRSPOMQPQQOPKMSMKMPONMRMORNMOMQSMNPRLLONSKQSKPOPLONPOMLOQNKPLPQOMQNNRPLOPQPPQLNNJKJNLOMNPQHLRNOQQPQNLSMRMNPOORMRUPQLUNQMPONLLLLPQSTNPOOORLNNMPOKRMNNOMNSQMNUOMQNROLNNOKMQRORNOQKNNPPPRONOMSPPMLLTRMNNNKONNQOLMPKPPPNP		BAI*
te pa'ai	{parbi} modal, 3rd place (proportionality; in ratio / rate) for each; per …		cmavo-compound			RKJMNPLORNTMQTNPQTKNPMQOTMNPPLNQRMLLILOTOPMNOQNSOPPMKSOMKLOLPPLQVMPPJOQMQNQPQPQNOOPQOLOOPOLRPLOTMNTOORMONKMTQRMONOLNSOTNOPMNNQNOMMQOMOKROOLOSPPKNTLNOSOMPMNNONTQMJOQPORQKMMONPQPPPMOPPTOMPMQNOONMKMOQSNQQQMNPPPOHPMONOTLMMPLPOOOLQQPPNNMTRIQRNNQLPKQQNNSPOOILOMIONKOMNQRQONQPPPMQPLNMRPQMNPPOPQRLPOPNPORPOMMRRNOMROQGNXMPMLOSNNOLMOSOPPQMRRPMLPKPQLKOVQOQROQNOPNNLOPNQNQLJQQTNKOOIONLQPMLKKPOPPO		BAI*
te pi'o	{pilno} modal, 3rd place (instrumental)             a tool usage for purpose ...		cmavo-compound	usage for purpose		MNLKNPTOPMPOONRNTPONRQRPNOKPSOOVQMORNOMPMOPJOMMMNPNMNNPOPONNRRMRRNONKPPLOPOOOOOJTQMQMPMNRPOOOMOOMPQRPQMJOMLQPQKOLLRRQNTLNPMPOONOPMPOOMLPOPQSQQSOMSOPQLOPQQONPORNNMPQMNMROOONPQLPURQSTNORMPQMNOMSPQRNTMINMNQLNOSJOKMQOPRHMQMQIQKOQOQPQNNHRSMNRLPOLLLPPOOMNPMJMLPKNLLQRNMNOTNPHSMTPPQMNMNQMINQPRLPRPPQKPPONMKQOLLPOLOPMONSNOMPKVNOMROQLOQPPMNLKPPLRPILPRNJPSNTOOPSPNPNKOPONQORNNLOOMJLOTRQONLOORSQ		BAI*
te po'i	{porsi} modal, 3rd place                            sequentially; as an order on set of items ...		cmavo-compound	ordering items		NNPNKQQMSOQSPOMOQPPLPPQMQOMPQLKMRPNMJKORMPOJNOOOOPLOLRMRNMNOQPNPTMOPKRSMRROQSLMNLOORMINOMRLNSORQSQOOPTMOPKKLNLOONMIPRQRJPQPONQTOMJRMONMNLQQNRQNLPRLOPKOLOPNOONQPOKQRPMUOPNMPOQMSSQLNQQPLNNOPPPQQNLNNSMMQRNPRNLNJMOQROQQOPMOPSPPOPORNUKMMORMQRKTSQLOMPNNRNOSLKNQLQPQOPMOTQOOPONMPNRLRLNPSKNTNNRTMPRLNNMNPPNNLQQOONRPTJOSNNNNMRPNOLJRSOPPQMLNQOJQLQKLLNQTPNRPPRRQPPMNLMOOHLLNROLJLOKJLQPQPNLMPNOOQ		BAI*
te pu'a	{pluka} modal, 3rd place                          pleasingly; being pleasing under conditions ...		cmavo-compound	pleasing conditions		PMQNJNTKOOOKSORLVOMNPRQNLNOQTKKQQMOPKIOPMNQLOPQNPMPNLNMPMMMOQQOQRJMQKRQNPOOPQMPPOMOTHJMMQNMPJPNPONOSOSKOQNIQNPKMOMMOQOSMNNPMNJROMLRNQQLNMPPNOORLPPLQNPOOMOOMOOSRNMORNOQQMMPQPSPOMNNPURNNNROKNPOKOLPNPOPPOPPLOPTJOQLOSOPMPSNPSPJOQOPRNONNPUNOWLLRQOMRPNKOKRMMJNMLJLQQQOJVQOOTQNMLQOSOMTROJNPONPNQOQOPOOKNMNQPQOMPOPOQLMSMPMNQLMPOLLNPPMTOONMQQMRPQRLNPROLNPOOMPRPOLNNMNMKLSNTRLSQNONPOQONKPJTPQQP		BAI*
te pu'e	{pruce} modal, 3rd place (outputs)                  processing into outputs ...		cmavo-compound	processing into		OLJNMMOLQOQNRMNNPPMISNMNOQLNQLMQRMQQOLNMPLONNNMLMNLPKSNQPNLMLPOPUMOPLONPJMROQOOMTPMQMOJPOOJLQPPPQORPNSPLONMUOLNONPPQSOSQLPKQPKOOLMPKMSMNPRMLPSRMOTKQORKOOSNLONQRONPORNPPLPNPNQNQQPPQWPPOPOSQOQLONOPNRQHPOOTOMKKLOQNMRQNMOQKPNOOOPRMNNLQIQPIPONMNONLORQRRPSRQLQKJPPMORPPNPQLVOOMPOONOIOPPQKNOLOQLPQOQTPPQNPOQMMNRLOSSONTLMKOTORMOOLOTPPPPPMLMOMWPRNJJPQNPONOQOOPQPORLPPOLKPLQOMOMPOPOPRSLNLLSNTVN		BAI*
te rai	{traji} modal, 3rd place (superlative)              -est; most extremely; at extreme ...		cmavo-compound	at extreme		TJMNOOOUOOPPRPNLUMNNQNRNTNLQOPJPRPNPMMRPMNPIOPNNMNLPMPNOLLOOQSPQVMOOKXQMPQRNPOOQQLNONKMNQPMNMSOQNNMPMRMNTJNOPPLMOKLORPROOTPPPQQOQNQOMOLNOROOROSPNNKNPPQJMMPMMOQMMNOPPNQRIMNORUPPPOLOSOPPPONNMMNNMNMPRQPPRLTQROSLJQPOPRQJPPNLQOLOMNQSPMLOMQOQTLROQLMOQPMSNONLKIONNOORMKMSOPNNQSNMOQMLLTQPMMNPQRPRMOKPIOMPKOLPQSOMOQNNLOQMQMKOMLPONQMPRQRQOOONNMQLRPMKMSQJMRPQNPOMPNKPNQKRMLOUOMMPQKONNQOOLOGQTPMT		BAI*
