@rowCount	5743
w	d	n	t
skylark	[object Object]	(small brown passerine bird)	n
skylight	clarabóia	(opening in the roof)	n
skyline	{horizon}		n
skyrocket	ir às alturas, elevar-se às alturas	(to increase suddenly and extremely)	v
skyscraper	[object Object]	(tall building)	n
slab	[object Object]	(paving stone)	n
slack	[object Object]	(weak)	adj
slacken	afrouxar	((intransitive) to gradually decrease in intensity)	v
slag	[object Object]	(the scoria of a volcano)	n
slake	matar, saciar	(To satisfy thirst)	v
slaked lime	{calcium hydroxide}		n
slalomist	{slalomer}		n
slam	{poetry slam}		n
slander	caluniar, injuriar, difamar	(utter a slanderous statement)	v
slang	[object Object]	(slang)	n
slap	esbofetear	(to give a slap)	v
slap someone five	{give someone five}		v
slash	[object Object]	(symbol)	n
slate	[object Object]	(rock)	n
slattern	{slut}		n
slaughter	exterminar, massacrar	(To massacre people in large numbers)	v
slaughterhouse	{abattoir}		n
Slav	[object Object]	(a member of a group of peoples in Eastern Europe speaking a Slavic language)	n
slave	mourejar	(to work hard)	v
slave-girl	[object Object]	(female slave)	n
slavery	[object Object]	(institution or practice of owning human beings)	n
Slavic	eslavo, eslávico	(of the Slavs, their culture or languages)	adj
slavish	[object Object]	(in the manner of a slave)	adj
Slavism	[object Object]	(a Slavic idiom or phrase)	n
Slavistics	{Slavic studies}		n
Slavonia	Eslavônia	(region of Croatia)	prop
Slavonic	{Slavic}		adj
Slavonic studies	{Slavic studies}		n
Slavyansk	{Slovyansk}		prop
slay	matar, assassinar	(to kill, murder)	v
sleazebag	canalha, sem vergonha	( morally reprehensible, disreputable, or sleazy person)	n
sleazy	inferior	(Marked by low quality; inferior; inadequate)	adj
sled	{sledge}		n
sledge	[object Object]	(sleigh or sled)	n
sledgehammer	[object Object]	(kind of hammer)	n
sleek	alisar	(to make smooth; glossy; or to polish)	v
sleep	dormir	(to rest in state of reduced consciousness)	v
sleeper	[object Object]	(someone who sleeps)	n
sleeper cell	[object Object]	(group of people who remain dormant in a community until activated)	n
sleepiness	[object Object]	(property of being sleepy)	n
sleeping	{asleep}		adj
sleeping bag	[object Object]	(padded or insulated bag)	n
Sleeping Beauty	[object Object]	(main character in this story)	prop
sleeping car	[object Object]	(a railroad car with sleeping facilities for passengers travelling overnight.)	n
sleepless	insone	(absence of sleep)	adj
sleep start	{hypnic jerk}		n
sleep tight	durma bem	(good night)	interj
sleep twitch	{hypnic jerk}		n
sleepwalk	{somnambulate}		v
sleepwalker	{somnambulist}		n
sleepy	sonolento, com sono	(feeling the need for sleep)	adj
sleepy head	sleepyhead	(a sleepy person)	n
sleepyhead	[object Object]	(sleepy person)	n
sleet	granizar	(to be in a state in which sleet is falling)	v
sleeve	[object Object]	(part of a garment that covers the arm)	n
sleigh	sledge	(vehicle on runners)	n
slender	esbelto, magro	(thin)	adj
slice	[object Object]	(to cut into slices)	v
slide	deslizar	(to move with low friction)	v
slide fastener	{zip fastener}		n
slide rule	[object Object]	(analog calculator)	n
slight	insignificante, ligeiro, leve	(insignificant)	adj
slim	emagrecer	(lose weight)	v
slim down	emagrecer, secar	(to reduce one's weight; to become thinner)	v
slime	[object Object]	(mucilaginous substance or mucus-like substance)	n
sling	atirar, jogar, arremessar	(to throw)	v
slingshot	[object Object]	(Y-shaped stick)	n
slink	espreitar	(sneak about furtively)	v
slip	derrapar, deslizar	(to lose one's traction)	v
slip of the tongue	[object Object]	(mistake in speech)	n
slipped disk	disco deslocado	(protruding vertebral disk)	n
slipper	chinelo, chinelas, [if fluffy] pantufa	(low shoe usually worn indoors)	n
slipper animalcule	{paramecium}		n
slippery	escorregadio	(of a surface)	adj
slipstick	{slide rule}		n
slit	fender, rachar	(split into two parts)	v
sliver	[object Object]	(a long piece cut or rent off; a sharp, slender fragment)	n
slobber	babar	(To allow saliva or liquid to run from one's mouth)	v
sloe	[object Object]	(Prunus spinosa)	n
slogan	[object Object]	(phrase associated with a product, used in advertising)	n
sloop	[object Object]	(single-masted sailboat)	n
slop	entornar	(to spill or dump liquid)	v
slope	inclinar	(to tend steadily upward or downward)	v
sloppy	desleixado	(messy; not neat, elegant, or careful)	adj
slot	fenda, ranhura, abertura	(narrow depression, perforation, or aperture)	n
sloth	[object Object]	(mammal)	n
slot machine	{vending machine}		n
slough	[object Object]	(muddy or marshy area)	n
Slovak	[object Object]	(language of Slovakia)	prop
Slovakia	Eslováquia	(Slovakia)	prop
Slovene	[object Object]	(the language)	prop
Slovenia	[object Object]	(country in Europe)	prop
Slovenian	{Slovene}		prop
slovenly	[object Object]	(having an untidy appearance; unkempt)	adj
slow	lento	(spread over a comparatively long time)	adj
slowcoach	{plodder}		n
slowly	devagar, lentamente	(At a slow pace)	adv
slowness	[object Object]	(quality of being slow)	n
sluff	{slough}		v
slug	sluggard	(lazy person)	n
sluggard	[object Object]	(lazy or idle person)	n
sluice	[object Object]	(passage for water)	n
slum	[object Object]	(dilapidated neighborhood)	n
slur	arrastar	(To run together; to articulate poorly)	v
Slurpee	slush	(flavored shaved ice served as a drink)	n
slurry	[object Object]	(agriculture: mixture of animal waste, other organic material and sometimes water used as fertilizer)	n
slush	[object Object]	(liquid mud or mire)	n
slushie	slush	(flavored shaved ice served as a drink)	n
Slush Puppie	{slush}		n
slushy	slush	(flavored shaved ice served as a drink)	n
slut	[object Object]	(sexually promiscuous woman)	n
sly	esperto, astuto	(artfully cunning; secretly mischievous; wily)	adj
smack	horse	((slang) heroin)	n
small	pequeno, jovem	(young)	adj
small caps	[object Object]	(font variant)	n
small-eared galago	northern greater galago	(Otolemur garnettii)	n
small intestine	[object Object]	(upper part of the intestine)	n
smallish	[object Object]	(somewhat small)	adj
small-minded	mesquinho	(selfish; not mindful of the big picture)	adj
small potatoes	{small fry}		n
smallpox	[object Object]	(disease)	n
small talk	[object Object]	(idle conversation)	n
smalltown	{small town}		n
smaragdine	{emerald}		n
smart	elegante	(good-looking)	adj
smart ass	smartass	(one promoting his own personality, wishes or views)	n
smartphone	[object Object]	(electronic handheld device)	n
smash	golpear	(hit extremely hard)	v
smear	{Pap smear}		n
smell	cheirar	(to have a particular smell, whether good or bad; if descriptive, followed by "like" or "of")	v
smell-brain	[object Object]	(part of brain involved with smelling)	n
smelly	fedorento	(having a bad smell)	adj
smelt	fundir	(to fuse two things into one)	v
smelting	[object Object]	(process of melting or fusion, especially to extract a metal from its ore)	n
smetana	[object Object]	(type of soured cream)	n
smile	sorrir	(to have a smile on one's face)	v
smiley	{emoticon}		n
smith	[object Object]	(craftsperson who works metal)	n
Smith	Ferreira, Ferreiro	(surnames derived from the equivalents of "smith")	prop
smithy	{forge}		n
smitten	[object Object]	(made irrationally enthusiastic)	adj
smock	[object Object]	(a loose garment worn as protection)	n
smog	[object Object]	(urban air pollution)	n
smoke	defumar	(to preserve or prepare by treating with smoke)	v
smoke alarm	{smoke detector}		n
smoke detector	[object Object]	(device)	n
smoker	{smoking car}		n
smokescreen	[object Object]	(anything used to conceal or distract)	n
smokestack	[object Object]	(a conduit or group of conduits atop a structure allowing smoke to flow out)	n
smoking	[object Object]	(smoking of tobacco)	n
Smolensk	[object Object]	(city)	prop
smooth	liso, macio	(lacking friction, not rough)	adj
smoothness	[object Object]	(condition of being smooth)	n
smooth snake	[object Object]	(Coronella austriaca)	n
SMS	[object Object]	(a text message sent on a cell phone)	n
smug	presunçoso, convencido	(irritatingly pleased with oneself; self-satisfied)	adj
smuggle	contrabandear	(To import or export, illicitly or by stealth, without paying lawful customs charges or duties)	v
smuggling	[object Object]	(an act of smuggling)	n
smurf	[object Object]	(fictional character)	n
smut	{soot}		n
snack	[object Object]	(an item of food eaten between meals)	n
snail	[object Object]	(any animal of the class Gastropoda having a shell)	n
snake	serpentear	(to move in a winding path)	v
snake charmer	[object Object]	(snake charmer)	n
snake hawk	{laughing falcon}		n
snaky	{twisty}		adj
snap	estalar	(to snap one's fingers)	v
snapdragon	[object Object]	(any plant of the genus Antirrhinum)	n
snare	engodar – v., enlaçar	(to catch or hold, especially with a loop)	v
snare drum	caixa	(tubular drum)	n
snatch	[object Object]	(vagina)	n
sneaker	sneakers	(athletic shoe)	n
sneakers	[object Object]	(leisure shoes, often worn for sports; trainers)	n
sneaky	malandro	(dishonest; deceitful)	adj
sneeze	espirrar	(expel air as a reflex)	v
snicker	casquinar	(to emit a snicker)	v
snide	sarcástico	(nasty, sarcastic)	adj
sniff out	farejar	(find something using smell)	v
snipe	[object Object]	(fool, blockhead)	n
sniper	[object Object]	(a person who carries the professional title of sniper)	n
snitch	delatar, dedurar	(inform on)	v
snob	[object Object]	(person who seeks to be a member of the upper classes)	n
snood	{neckwarmer}		n
snooker	[object Object]	(cue sport)	n
Snoopy	[object Object]	(pet beagle)	prop
snoot	schnozzle	(slang: human nose)	n
snore	roncar	(breathe during sleep with harsh noises)	v
snorkel	[object Object]	(hollow tube used for breathing underwater)	n
snort	cheirar	(to inhale (usually a drug) through the nose)	v
snot	[object Object]	(mucus)	n
snotty	ranhoso	(dirtied with snot)	adj
snout	[object Object]	(nose of a man (in contempt))	n
snout moth	{eggar}		n
snow	nevar	(have snow fall from the sky)	v
snow angel	[object Object]	(design)	n
snowball	[object Object]	(ball of snow)	n
snowball fight	[object Object]	(scuffle or play fight whose object is to hit unallied participants with snowballs)	n
snowboard	[object Object]	(board)	n
snowdrop	[object Object]	(plant)	n
snowfall	[object Object]	(instance of falling of snow)	n
snowflake	[object Object]	(crystal)	n
snow fox	{arctic fox}		n
snow globe	[object Object]	(decorative object)	n
snow leopard	[object Object]	(a large feline mammal, Uncia uncia)	n
snowman	[object Object]	(figure made of snow)	n
snowmobile	[object Object]	(vehicle)	n
snow plow	[object Object]	(vehicle)	n
Snow Queen	[object Object]	(fairy tale character with power over snow and ice)	prop
snowstorm	[object Object]	(bad weather involving blowing winds and snow)	n
Snow White	[object Object]	(character from Snow White (Schneewittchen))	prop
snowy	nevado, nevoso	(covered with snow)	adj
snuff	[object Object]	(fine-ground tobacco)	n
so	{sol}		n
soak	molhar, ensopar, encharcar, deixar de molho	(to immerse in liquid to the point of saturation or thorough permeation)	v
so-and-so	[object Object]	(placeholder name)	n
soap	ensaboar	(apply soap in washing)	v
soapbox	{soapbox car}		n
soap bubble	bolha de sabão	(sphere of soap water)	n
soap dish	[object Object]	(a container for soap)	n
soap opera	[object Object]	(television serial)	n
soar	planar	(to fly by means of a glider)	v
sob	soluçar	(weep with convulsive gasps)	v
SOB	fdp	(son of a bitch (abbreviation))	n
so be it	assim seja	(indication of acceptance)	phrase
sober	sóbrio	(not given to excessive drinking of alcohol)	adj
sobriety	sobriedade	(quality or state of not being intoxicated)	n
so-called	[object Object]	(so named)	adj
soccer	[object Object]	(game)	n
soccer player	[object Object]	(one who plays soccer)	n
Sochi	[object Object]	(city in Russia)	prop
sociable	sociável	(tending to socialize or be social; friendly; inviting; congenial)	adj
social	social	(relating to society)	adj
social anxiety	{social anxiety disorder}		n
social anxiety disorder	[object Object]	(the most common anxiety disorder)	n
social butterfly	arroz de festa	(person who likes to attend parties)	n
social climber	[object Object]	(someone who tries to improve their social position)	n
social contract	contrato social	(agreement or contract)	n
social Darwinism	[object Object]	(theory)	n
social insect	[object Object]	(insects which live socially)	n
socialism	[object Object]	(political philosophy of social and economic equality)	n
socialist	[object Object]	(one who practices or advocates socialism)	n
Socialist Federal Republic of Yugoslavia	República Socialista Federativa da Jugoslávia [Portugal], República Socialista Federativa da Iugoslávia [Brazil]	(Yugoslav state that existed from 1943 until 1992)	prop
social phobia	{social anxiety disorder}		n
social studies	[object Object]	(study of various subjects)	n
social worker	assistente social	(person whose profession is social work)	n
society	[object Object]	(people of one’s country or community as a whole)	n
Socinian	[object Object]	(a member of a certain nontrinitarian Christian denomination)	n
socioeconomic	socio-economic	(of or pertaining to social and economic factors)	adj
socio-economic	socioeconômico	(pertaining to a combination of social and economic factors)	adj
sociological	sociológico	(of or pertaining to sociology)	adj
sociologist	[object Object]	(scientist studying the field of sociology)	n
sociology	[object Object]	(study of society, human social interactions, etc.)	n
sociopolitical	{socio-political}		adj
sock	[object Object]	(covering for the foot)	n
socket	[object Object]	(mechanical opening)	n
Socrates	Sócrates	(Greek philosopher)	prop
