@rowCount	3394
w	d	n	t	q	g	s	r	v	b
banturucu	$x_1$ is the language with ISO 639-3 code ''trc'' (Copala Triqui).	Triqui Copala Triqui language	fu'ivla	LLLMKOSNRMVMOOQLMLQKRPNRQPNRUPLTPRQQNKPQJMQNPOLQMOMPNQMMPPNRLSQROOMLOMLMOSMPRNNMOQQSQPMOPNPPSTJQQQMNQQLNNORNSNJNNJJQMMRONOKNPLQOPTPQKLOKIOOLJQPRMNPOOQPNRUOOQRPOPOPMNOLVRNNNQNPNNMNQNPRLPPOPQNQPOMKMUNLORROLPLPOLNPQOORMMNNQPNMOOPKLIJUOQPRJOOSQQPNSOLNONORNPPNMLSLJONNMPLOQOMQKLNWKPORPKKPMQPMNRPOROKPNKOKLKPOPMMNPOPMTQPNSPOOOMLMMQOMMQQQPLNNNMTROPPPNKQORPLONOKPRSLOPUPIPSONMPMOMNPRNNOOPRSPM
banxukuve	$x_1$ is the language with ISO 639-3 code ''xkw'' (Kembra).	See also {bangu}	fu'ivla	NNNNLNRJRLUKQMQNMMMOSOQPSRPPSMPSRPTSNKOOLKQONRLPLMNKNOTJNPNPOTRSMMNKKMNLNRLOVNONNROSOPKNPPPORQMQRQMPQOMQLKPMPMKHMLNPPQOONNNNLNOOPRPHOHOMJNNMJQORKOMQQNPPMQQMNQMMNOINOOLRPLMLPPOLOMPOOQRPRQONLOUPQLMOPPKNTQNLMLPQOOPMOOOONPNMOLKOPRLNKMSQPPOMOPTOQSMPMNKQPNRRPMONLROKNMNOQPOTOPOLPLSMPPPSLRQPMLROONOQNJQNKQLNLOPOPPOPROOUOMPSOQQOMKOLRPNMQMTOMPNNOSROQOQOKSPSPKNPPONRPOPRRLLPOSNNLKOOMNPSLPPNRRQN	Kembra
banxukuxu	$x_1$ is the language with ISO 639-3 code ''xkx'' (Karore).	See also {bangu}	fu'ivla	LNNNMNRLRMUNRNPOLNNLQORQTPPPSOMRQOSULKOPMLRNMQLNNMLNLNQJNQNQNTRRMOKLMNMMMQMNVNONNOPSOPLPOQPPRQMQRQLPQONRNKOKPLLINJMQOOOQPNMNPMROMSQJMINMGONMIPPQNPNQTNOQLRQONPMNMQJNMNKSPMNNQOPLPLOPQTSMQQMMOKSQQLOMPPLNSQNLNNOPMMONOPPPOQKLNOLONRMNJLTSPPONOOSQQSOOLPLQOORPONMNMSMJOMMOQPPTPPOMPKSOPPPTLRPONMQNOOMSNJRNKQNOLRPPPOQPPOPTNLPSQQQONKMJPNMNOMPNLNONNUPOROPMJTORPLNNPNOSQLRPSKLPNSOLOJOOLLQROOPMSRSN	Karore
banxukuzu	$x_1$ is the language with ISO 639-3 code ''xkz'' (Kurtokha).	See also {bangu}	fu'ivla	MOMNMNRLRMVJRNPMMMNNSOQOTPOOSONQQRRSNLNPJKRMNPJOLMMNMPTJNQLRPSQRNOMLLNLMPRMOUNOMNQQRNSMNOPQOQQNPQQLQQONOLMOMOLLKMKLQONNPNONPPMSOOTOINJNNHPONIPNSMPMNQNPOLSPNOQLNNOKNNNMRSMKNOOPKPKOPPQSOPONOOLSOQKMOPNLMURNMOOPQNPNMOSOLNQLNOLMOOSJNMLTSOOQLNNTNSSOPNOKQOOQQPPMNNSMILPMPONOTRPOMPKSMPNOULPQPMNRNPNMONJRMJOLMMRNNORPPOQPSMMNUNPPOLMNLPONNOLQPMONMNUPORORMKTPSPLPPOOORNMPQUMNRORPLNMONKMRRNOOOSQQM	Kurtokha
banxulu'a	$x_1$ is the language with ISO 639-3 code ''xla'' (Kamula).	See also {bangu}	fu'ivla	MMMOKQOMULUMRLRNNOMNRPPOUROOSOOQTPSROIQTJMQMOPMONMKMOPQINOORMSSRMOLKMMNONPMORMPMMRQSORNPOQOPSRKNQQMOPPNNLLNMQJOJLLJPNMNMNMMNMMNOPQOLMJMMJPMPHRPSMPNPSNQNNTUKNQMMNPKMNOLSQOMNQPQKRMNQSPRMRRMPMMRPPKMNRMNPTQNINMPOMOPONRTPIQLNPNOOPPLMJLTSNPQLPQSNPRLOLNLQOPSPOONPLRMKPNOQPNOTOPOMOMRMOPQQLOOLNNSQOQPMNKROLQMNKNOOPMNPQNPRMOOTNPPONLNKPNMOQMROLOOMPSRPOPRNLQOSQLPOPMNPPNQPULIPQRNMNMPMNNNSNPRPRRPM	Kamula
banxulubu	$x_1$ is the language with ISO 639-3 code ''xlb'' (Loup B).	See also {bangu}	fu'ivla	LNOKNQPNQLUNQLPPMMMPQROPVPOPSNPRSPSROIOQLLRONRKPMMMONSOMNPMQLVRRNQLJKNKMMRONQNQNKQPUONMQOPNMRRKNQQMQPONOLLPMSJPINJLOOLOMNMONMKNOPQPMKMNPJQNLJROROPMOQPPNPTQMOROOMNMNMNLSSNMNSSOKQJOOQRULNSMPPPRPNMNOQLNNTQNLONRMMNNMNPTOMNLOOOLONPLNKLWQOPOKOMUNQPMSLNMPOPRRPOLRKQLLOOMNQNOSPNNKNNSMPPNRKOPLMORQPPNPOKQPMQMOMNOPNOOQNNOSNNOTMQPOLOOLPMMNQOQQLMPMNRPPPPTNKPMQQMQRPLPQQMSPSKJOSNOMLLSONOQOMNQPPRQM	Loup B
banxulucu	$x_1$ is the language with ISO 639-3 code ''xlc'' (Lycian).	See also {bangu}	fu'ivla	MKNMOONMRMWNPNQOLMMNRQORVPPOUPNRSQQTOIPRKLSNKQMOLMMPKPOLOPNPMTQRMOLLMNMMNQOOTMOMNROSOPNQQNOOPRLQRRMPRNNPNLONRKOJLKLOONNMOMNMNMQOORPKMMNOJONOJSNQOOOPROPPMRRMNQNMOONQMOMQQOOMQQNMOKOORQRKOTMPNNTRPLKOQMLNSROLOKRMIOMPLOQPNOJLOPMONPMMJKUTNPQKNPTOPQMSLNMQOQQOOONOLRKLQONOQOOTQNNKMNQNPQORLQPLLOPPQNNQPISPKOMMLMNPQNQPPMQTOONRLPROKMPJONMQQPQNJMNMNTPQOORNKONROJPPQMORQKQQQMIOSPNOONONLMPNKQPMQTRK	Lycian
banxuludu	$x_1$ is the language with ISO 639-3 code ''xld'' (Lydian).	See also {bangu}	fu'ivla	MMOMLPPLQNUOSLPQLMNOPRPQUOOOSRORSSQUOJNRKLRLLNMPLNNPLPPLNOMONTQQLOLNPLMNLQMPWKPNKQPSNQMQPONOQRLNROKQOQNQLLPLPJOKMLLQNNNONNMOONQONRQNMNNNLMONLSOPQRNPRPPPNRSOOPLMOQLPMONRRNQNOQQKPKNRRQOIPQMNNNTQQJMMRONQUTOMPMPNKNLONNRONOLMMMNOLOLLLMUSLNPLMOTPQPOQLOKPPOSONONOJTNLPMMNOMPVQNMKOMRORPQQMORNNNPPMLMPMIROLQLNMNMOQLPQONTTMNORMNOOLLPJNQMPPOROMLOKNSOPPQOLKQOSNKROQMNRSMQQRLJPQONLONQNPLONKOPPRSPM	Lydian
banxulu'e	$x_1$ is the language with ISO 639-3 code ''xle'' (Lemnian).	See also {bangu}	fu'ivla	OOOMOLOOQNTKRLQPLNMPTPPRUQPRSQOQSRPQMGORKMRMLSMPKNMNLNPKMNNPNTOQLQNLKNPKNQLOQNNLMRQSPRNQPOQOPRLOURNQQPKPMLQMRKOHMLKPOLNOMNMNNOOOOROLLMNRJONMJROQPNNOPNROORSLPQMMNMLPLNKTPMNNRQPJPIPROOQMNRKOPNTRSNKOSMNMUSOOPNOONMOLOORMNPLKPOKOLPMOINRTNPPMQNTPPQPRNOMPNPSOQNOPMPLMPOOPMLQTPNNLNLSLPNRPKOPKMOPOPPLPNLRNJOKPMMNPPMPQOMSSLMPRNPSOMKNMOKMOPPQMKMPLOSPQONSMLOPRPLPPPOPQPMSNUKLQQPOMNJQPOOQPMPPOSQQM	Lemnian
banxulugu	$x_1$ is the language with ISO 639-3 code ''xlg'' (Ligurian (Ancient)).	See also {bangu}	fu'ivla	NNPNMNQMRMUMPLPOLONMRPPQVOONUPNQTQQUNIOQLNTNMSMPLPNNNPPKNNMOLVRRJONLMMNNNQKNRKMLNRPTNPNQPNPRRSOQRPMQQPNONMMMPLPJOMKQNNNOMONNNNPOORPKLLONJONOFSORPPNQPPPMNTTNOPMMLOLNMMMTSONMRQPKOLOPPOPJNQLQPNUQQMKNRNOLSSOMNLOOLMMPLPSPOOKLONJOLPMNKKSTOQQLPNUORRMSNOKPOQROOONPNQOKPNONQNPSQOMLOMQNSMQQKQOMNNQNOPNONKSPLPKPNNPPQMPQONQSOMNQLPQOMNOKNMNOPNQQMNPMOSPQQPQMHPPQQLQPNNPQMKRPULMOQOPLMOQPMMPNMOOMRQRM	Ligurian (Ancient)
banxulu'i	$x_1$ is the language with ISO 639-3 code ''xli'' (Liburnian).	See also {bangu}	fu'ivla	NNNNNMQKPJULQNPOLMLORQPRTOOPSPORROTQMJQSMKRONQNNLOMQLOOHMRMOMUPTLONKNLNNOQMOUNNMMQOUOPMQPQOPQRNOTPLPNOMQLLMNQJQKOINPMNPNMNNNNLOONTOMLKLNHOOQJSPTPRNNQPQMLUVLOPNLOPMPMNMRPPONRPNKPKNQTPQLQSMNQORQPMJMSMLOUQPMNLOOJMNLMQQQOOKJOOMOMOMMKLSSMOQMNOTPQPNQNOJPNPTOQMNQLRMMOONQPMOSQONLOORMNOQRKPPKNOROMQMOPJSMKPLNNNPPPNORPMPROMQSOONOLMNNNNOPPNRNMMPNNSPPQPROJPOPPKQPPMOSPMSPTKKPRONNNORONOOOMOPPSPRL	Liburnian
banxuluje	$x_1$ is the language with ISO 639-3 code ''xly'' (Elymian).	See also {bangu}	fu'ivla	MMPMMOPLQMVMPKRQMNMOSQOQUOOPSOOPSQSQNGPPKMRNLQMOLMMNNNOJNPNQNUQRMOMKLONKNRNOUMPMLRPTOPMSNOPMPQMPSRLPPQOOLMPMPKOGNLLPNNOONOOOMOROORNMLLMPGPONLRPROPNPPOOPLRQLNRNNNOMPMNMQRPNNQQPKSJOOPNSLNSNOPNTPRKNNQMMMURNMPMPOLMNNQOPQMQLMNNLONQKMJMUSNPRKQNUNOOPRMLKOOPQPONMQLSLLQPMOPOOSRNMLNNSMOOPRKNNMMPRPPPLPNISNKNLONLMOQNPRONQTNNORMQPOLOQLONNPPPQPKMOMNSPQQPROJQOQPKPPQONOPKQPTLJOUPPMOMOOMOQPLPQPSRQL	Elymian
banxulunu	$x_1$ is the language with ISO 639-3 code ''xln'' (Alanic).	See also {bangu}	fu'ivla	NMOMMQQMTMTMQMQOKMMORQPQUPNRUQPQTRSRNIOQLMSMOQMPMPMMONPKLPLPNTPPLQJKNNMLMPMPTMOMNQNSOONPNQNOTQNPRRLQPQNPLNNNRIOKNKLQMMOONMNNPMPOOSRKMKNPKONNKQOSPQOQPMPOMSSLSPLONPLNMPNTRNNORPOLQLPPQQRKOTLMOMSQOMOLRNMNUROMMNQPJPMOMQSNNNLMMOMONNKMILUSMORKONTNPRNQMMMPPNRPQOLQKQLMPMMPQMOUPNLKPMSMOPPSKPOMMMQOOPMPOISNMRMNMMNMONOQNORTLPPRMPOOLMPKPOMPPNQNKNMMNSPPNQQMLPOSOLQOQMMQRMQNSKHOQONOMLRONNPOMORPRSQL	Alanic
banxulu'o	$x_1$ is the language with ISO 639-3 code ''xlo'' (Loup A).	See also {bangu}	fu'ivla	LOPLNQPNQNVOQMOPMNMORRORVQOQRONSSPSSOIPRLKRNNRKQNMLONQNMOOMQKUQSNPMJJNKMOROORNRMMQPTOONQPPLMQQLORPLQQOONMNOMRKPINJLPNLNNNLNOOLNOPROMLLMPJQNMITPSPQMOQOPNOUOKORNPMNMMMMMSRPNNSQNKQKOOPQUKMSMPPPQPOKMORMONRRNLPMRNMNMNNPTONNLOPMNONQLMKKURNNOLOMUNQOOSMNMPPOPQPPLQKRMLOQLORLPTPNMKOMRMOPMSKOOLMOQPPOMONJROLPMNMMOPNPOQNOOSLNPTMPOOMOPKPNMNQNRQLMPLNTOPOPQMJPMPPNQRQLPQRMRNTLJOSOQLMMSNOORMNNPOORRM	Loup A
banxulupu	$x_1$ is the language with ISO 639-3 code ''xlp'' (Lepontic).	See also {bangu}	fu'ivla	NNPMOOOORLVLQNQNMMLPSQPQUQNQUQMQSPSROIPRLLRMOQLOLMMOMQOJNNMOKTRQMQLLMNMMNSOOTMPMNROUOPNROOOPQRIPPOLOPPNOLKOMQJNJMLKPMLNMNLNMNLOOPRPLMNMPIPNLHSNQPQOOSNPNPSSNOQNNMOLMMMNTQOONSQQKPKOPRORLNQKNPMQPRMKMRNNLTROLNOQPLNMNNPSONONLPOKOMQLOLLTSPQPLOMSPQQOQNNMQQPTOPMLRKQNKOOMNPMOTQNMLQMQMPPQQLOOJNNQQPQMNOKSNMNKOLLNPPMPQLLPTMNNSNRROMNOLPMLMSPPOMMPKPRPRQNQNLPNRQMQORNORPLRNVKKPRPOOMLRMNMPPNOQORRRM	Lepontic
banxulusu	$x_1$ is the language with ISO 639-3 code ''xls'' (Lusitanian).	See also {bangu}	fu'ivla	MMONONPOSLUNPMOPLMMQRNPQVQMQSQOQURRROIQRKMTNNQLQLNMOMQOKMPOOMUQQLPKKLOOOLRNPTLMNNPNTPPNRONONQRKPQQKPPNPOKLQNOIQINKKPNMNPPONMNJPOOPONNMOOHPKPKRNSRONPSMQOPSRLPQKNOQMQNMNRQPOPSSPLQKNORPQJMRMPOOQQOMMNQOLKUSONNLONKNNPMRQPOQKLNNKOLPJNJNTROPRJLNSPQQMPMOLPOPSOPNIPLSONPNNOPMPUROLMNMRMPOQPKPNLNMPPPQNPNLSMLQKOLNOPQMQQPNPRMNOSOPPOMMNKNOOPPPQNMMPNNSPRQPPNKOMROLSOQMNPNLRNTNJOROONNMRNNOOLNPQNQTRM	Lusitanian
banxulu'u	$x_1$ is the language with ISO 639-3 code ''xlu'' (Cuneiform Luwian).	Cuneiform Luwian language	fu'ivla	KONMNMNORLUMPNNNJMNMRQONVPQMTPORRQQSOHOPLNSMOQLOKNPONQRHMPNPMTQPLOMKMMLONQLQTLMLOSQQPQNQPQONRROPRPMQPOQOKLQMQJPKNKLPNMOOONMOMLPOPRMMNLOMIMNOITNPPPPNQPPLPRPMPPMMNPLPNLOSSNOOQRPKNKMQPORJPPNROOQQOLKNQOLMTQPNPMNNLOMNLQPOPOLLOPMOMRLLINTRNORKNOVPSRNQMOKOPQSONOLNMSMKROLNRNOTPQNMPMVNSMRPLPPNMLQNOPOQOJSOMOLOKLORPNPPPPQTOMNSMRROMLNKOOPNOOOOMLPNMPRRQPQMIPQSPMQQONNOPKROUOMPPQNNOMPONPOMLONNRQRO
banxumu'a	$x_1$ is the language with ISO 639-3 code ''xma'' (Mushungulu).	See also {bangu}	fu'ivla	MPPNMMQNQMVKQOQOLMOPSRQPUPOMSPMQSQPSNLPPLMSLQRMOMQKPKOSHNPNSNSRQPKLLLMONPOKPSOMNOQQSQQLNPPPPPRMNOOKQOPNNMMOMOMMKLKMQOQMPLNOMMKQOPONMLLONINPMJSOPONONRNPNOVRNNQONMNMONPMRPLLLPQPJPMMQORSIPQMPNKPPOLMNSNNMSQMKMOPRNONONQQPPPMNPOLOMQLNIKSTLQNMNQTPRSNROPJONQQNQNJOLQLJOPLPQQNTQQQLNNULQLQQKNONPKQNOSRRNJOLLOLNMQPOQNPPQPRQNNMUPQQOLKNNPQLPQOQPKOPLORQPPPRNJQNROLNPONLPRJQPUMOQRROLMLOONMOQOOOPTPOM	Mushungulu
banxumubu	$x_1$ is the language with ISO 639-3 code ''xmb'' (Mbonga).	See also {bangu}	fu'ivla	OLNONMQMPMVNPNQOLMNNUQOQTQOOUNOTVOUSPJMMMMTNPQNNKLLLMOSJOPMPNRPRMPMKMMONMRKRUPOOLOPRPQMONPOSRRLOQOMPPROQMMNNQNNJMNMOMQOOMNLMNLMOPRNKMKNMJONKLPQPMQPQQONNMRTKQQMMMOKLNMLTRMNKROPLOMNQSQSKOSNRNMTRQNNNPQLLVRMKMLOPMONNMQRONONMQOLONQMNHLTSNNPMPLSPTPORMOMOPPSQONNPMPMKNMQQPOOTPPOMQMTNPOQOMQONMMRMMQPPMKPPMSKOLOOPPQPPPLPSNNNROQQONJOKRPNOQORNLPPMOQONQOQMJOPROJOOQPORSORPQKJPQPMOJMQPMOQQLNORRQRJ	Mbonga
banxumucu	$x_1$ is the language with ISO 639-3 code ''xmc'' (Makhuwa-Marrevone).	See also {bangu}	fu'ivla	MMNNNOQLUMULRMPPLMQOSOPQSPOQQQORRQQVNLPPKJTLQPMPMMKNJNQJNQPOPTQRNLNNNPONNPMPSNPMOOQSOSLOQOOPQQNMPQLQPPNONLONOLLJMKNQNNOQLMLOMMQONSRKMJOMJQPMJQNQONONOPOOOTRMPRLNMMKNLMLRQMNMOQMKRLOPNQQJOROQNKSPQKMOQNNMUQNLMMRPMOMNNSROORLKQMKOKRLNKLTTNORJNPRORQPRNMLRNPQRQPMNLSMJOPOPQNNTQSONPKQMOOOTLPRONMQMOOORNKQMIOKMMPPNPOOPQQSQNMPSNNOONJOJOOMOQPSNLNMNOUPMPPRKKQPRNLOQOOMPPKQNTNKQRQRLMMPOOLQPMQPNSRQK	Makhuwa-Marrevone
banxumudu	$x_1$ is the language with ISO 639-3 code ''xmd'' (Mbedam).	See also {bangu}	fu'ivla	MMOKNOQNQNVLSNQNMMPNQRPOSRQOUQPQRPRSOJMNLLSLPPMPMMNOLNRKNOLNMUPQPOMMNPLLOQKPVNPLNROROQMOPSQOQQLNRQNPPRLQLMNOPMMJMKKONNKOLLLMOMPOOQQLKMNOJQPLJOPOOQONPPOMOUTNPRMMKOLNNNMRPMNMQOOHRLNPQQSKNQMQOMQPQLNLPOMNVSNMPNPOLOMOPQPONONKOPJOLQLLJLTUMPONNOSPROMROOOPOQSSRPOQKRLIPNMPPPOSQPMLRMSMQNPPKOQOONPONOPQMJRNLONNNNOORPPQNOQSMMNROQPOKJPJOPLORNSNLONLMROMPQQMLQPQNLMPQRNPSMRQSKKQRTPOMKPONKNQLPQOSQPN	Mbedam
banxumu'e	$x_1$ is the language with ISO 639-3 code ''xme'' (Median).	See also {bangu}	fu'ivla	OLONOMPPPMUMTOPOLLONQQPPUQMOTNNSVRSQOIONKLRMMRMOMNKOKQQLNOOPKTQQPQNLLNNMNPOOTLOMMPQRRQNONPNOOSMPTPMQQOMMMKPLQMMJLKKMPOOLMNMOOMPOOQQJLLNOLOONKPONOPLNPOPOMTRNOQLNMPMOOPMTQONKQPPJOLMORPSLRPMONLTPQMKMSQMPTROLPOQPOPPLNPRNNOKKPNKOLSMPJKUUOPNLPOUQTOMROOMROOPOPNMOOPLIONLPQOPUOQOKMMRNQNQQLQPNPOPLPNOOJKRPLOKNNQPOPOOPMPORMNNSOQQOLJMMPONPQMQNJNNMNSOOPRRMLROSPJNOPLMSRNPPVLLPPRONPIPNOMPQONQOTSPP	Median
banxumufu	$x_1$ is the language with ISO 639-3 code ''xmf'' (Mingrelian).	See also {bangu}	fu'ivla	OLOOLORMQMXMPNQOLMONMOOPTNNOUQNTSQSTOINQNMSNMROPNNLRLOPLQOKOLTPPMPLNNNLLLOLPRLNKNRPPPQMOPPQQPQOPRPNPPOOQLMLNPMMIMJLQPPMNMMMNLMOOPSQKMMQMKNOMIPNNOOOMRPMMOTSMMPLNNOKNKMMQQNPLRNPJPLPOQSRKOQKPONSQQNKORRMMSSQMMMPMKPNPLOPQOONLPPKOLQLMJLRSLQPMQOTOTSMSMNMNNPTMQPNPKQPJPOLORPRTQPPLOMQMQPNPNOMNNOPNPONRMGSOLRLPMPQQSMOOONOSOMPQMQSOLLOJLOMNPNRNLOMMNRPQPORLJPPROLQNNQNSQKSQTMLQSROKNMNQOLOPMPQMPQRO	Mingrelian
banxumugu	$x_1$ is the language with ISO 639-3 code ''xmg'' (Mengaka).	See also {bangu}	fu'ivla	NNONOMTNQMWLOOSOLNMNRPPPRQPOUOMSUQRWNKMPKLTNOOMNNNLNLQSJNQMRMTPQNOLMLNOMNQJQTNOOOTQSNQLOPRPSRRNORQMPQQLPMMOMPNMJLKKNMPOONNNKNMPOOPOKLLPMJPNNGPQPNQNNQNMNMURLQQLOMOJMLOMQRMNNQPNKQLMOPQQKNQMQLNSQQLNLQPLNRQMKNOQPMONQLRRNMQMMNNLOOQMMJLUSNQOMOOQPRRLRNPMPPOTPPONPKSNHOMMPRONSQPNLQMRNOPPPKMOOOMQONOPPNLSPMPLNMNNNRQPQONRTLONRMSQOKKOLOQKOROPPKOMLOSQNQOQMJRORQKOOQQPRQLPNSJMPPQNNMMQOMMQPOQNORQPM	Mengaka
banxumuju	$x_1$ is the language with ISO 639-3 code ''xmj'' (Majera).	See also {bangu}	fu'ivla	MMMNNOQNQLWORNROLMPNQQQPTQPOTOORSPRSMJPOKKRLOPLPMOLOLPRKOOKONTPQNNNMMMNLMQJPUNPOMQOSPQLOPRPPQSMPSQNPSPMQLNNLOLMILIKQPOMPMNNOOMOONPQKLMPNIONMJONPOONNPOOOMVTMOQNMMOLOMMLQQNONQOOKPMNPORRLNTMOLMQQQMKMRRNOTSOKNMPOMQNONQQNNRONPNKOMRLMJJQSMPNLPPTPSQMSNPLQONRPQOOOKSNJNPNPQOQTPPOLPKSLPPRPKOPPPLPMONNQMLSNKPMMLPONRPOMQNQTMMOSOPQOLJNJPOMMQMTNLOOLNUPPOQPLKSQRRKPQQONPSNRPSLJQOQNLMJONOLPQNPNMSQQO	Majera
banxumuke	$x_1$ is the language with ISO 639-3 code ''xmq'' (Kuku-Mangk).	See also {bangu}	fu'ivla	MOMNLORMQNVLQOQPMLQMPOPORNOPTNNSROSTNHMOMLQNQSKNNMMPLQSLNRNPNTQQNNMMNOOLNPJNQNNNNQOSNRKNPQPNSQMPRRMOQPMONNPNQNKKMKOQQOOPNMLNPLPOPRSJMKQMJPNNIPNQKPNQPONOOTRLOPLOLPIMNNKRQMNLQQPKOKMPOQTKRRLOMLRQQLLOPONMSROKMOORNNMNORROOQMNPOKOLQLNMLRTNPPLPQSQQSMRMOLPPPSPPQMMKSOINPNOPPOSPQOLOKSNOPNSLQOOMMPMNOQRMJQLNQMNLQPMPNPQOPPSLOPTMROOMINJRPKNQMROKPOLNTQMPOQLKTQSQMMPNOQRRMRORLLRPPNKNLOMNKQSMNNMQRPO	Kuku-Mangk
banxumuku	$x_1$ is the language with ISO 639-3 code ''xmk'' (Ancient Macedonian).	Ancient Macedonian language	fu'ivla	MOKNLLQMPNTOPMPNMPONPPRQTPPOSQPRTQOUMJMOMMTOMRLOMNOOLNOLNOKONSSQLPNLLOMLMOJQULOKNRORNQNOORSTRROQSRNQQPNPKLMMNNNINMNSOPOOKNMPOPOONTMJJNROMPOMLOMOMPMQQOONMSOMPPMLMPLOMLLSNMPNONOLNJOPPQPLNROOOMURROJNRPQLQROOOKOQMPNOPQPOQQNMOMNOLSKOKLQRNPRJQNTOSTNSMPKPONOMPONQMSOKPNMNQPQWOQOOONQMROQRLQOPNLRNPPPSMJSMJQMPMPPOQNPOQOQSLLOPMQSOLLPKQPNONLQMNMNNORPNRMQNJPQRPIONPOPSPLQPRLMPPRNJLLNQOLRPNPNNQSQK
banxumulu	$x_1$ is the language with ISO 639-3 code ''xml'' (Malaysian Sign Language).	See also {bangu}	fu'ivla	OMONLNPMQKVNSPUMKMONPPOOQPROUQLRTRPROLMQLKTMPPMNKONMNONKMPKPQTPONRNLPMJLQRNOUMOLKPMPPQMRORNPPOMOQRNPRQNPOLNKQKMKLKMPOPOONMMNPNNOMSRLLLNLKOQNMQQQNPMOOOOONTQPOPONMOLNONOPQOONQOPJTLMPOPQKORJQLLSOPLNLPMMORQKMQPPRLQONRQPNNOOPNQOOMQKKJLTRLOQNOORNSRORNPNRMOQQONOQNONGMNMOQNPSORPLPOUKQLPRMNRMNPQONQPPMKRPLPLNMQOOPOMQOONSNNNUMPNOLJPILSNPQNROLOMKMTPNPOPPNSQVNIOMQONPSMPSTLKPPQNNOJPMONPQMPQQTROO	Malaysian Sign Language
banxumumu	$x_1$ is the language with ISO 639-3 code ''xmm'' (Manado Malay).	Manado Malay language	fu'ivla	QNNNMOQLOMWKOOROLMOOSNONRQQOSOLSSPSQNMMQLJRLPONNLOLPLPQJOQKONTQPOOMNNNLMPSLQUOPNMTNPNONPQRQQNPOMQQNPSOLOMNNLSMLKKILPOOMQOLNMOMQOOQPLNLPMIOQNIPNONPLOQPNMNUQLPRNMNPJNOMOOQMQONLOIPMONORTKNPMONKRQQLONSNMNSQLMQPORMQONOSPNOQNPNNNONRLMJKTTOOOKNOTOTQOSNPLRNNPOPNOOKQNHNOMRQONRNOPLRLSLQPPPLNOQPMPMOSQQLJSPLRLNMQPOSNNONPQSLMNRNQPOLKOKNRMNQNTNMNOKNTPOQQQLKTPTPKOOORMRPMPPTKMPORMMMJOQNLQPNQNOSRPO
banxumunu	$x_1$ is the language with ISO 639-3 code ''xmn'' (Manichaean Middle Persian).	Manichaean Middle Persian language	fu'ivla	NMNNLNPMQNWNRPOOMKQORORQTQOOTQNSSOQSOKPPNLSLMOOOMPMONNRKOPKQOTPONONLMLONONKOULLMMSQPNRMQOPPRQPNPRPNQUOLNLMONOLMJMLKRPNNOJNNPPMNOOTOKKMQPLMRNLOKPNNOOPOONMTQMOPONNPLONNMSPOPNRMPKOKOPPQQMNOMPPJQORNKMUPNLSWPMONOQNSPNNRQMLOMLPOMOLRIMJLTTLPQKRPSQSQPQMPKONOQLQQMLLPNLLOKOQORTOQNMNNRLRNQOLRONOPQOOOQPNKSPLNMOKOONSMNOQRRRNLQRLMQOMJNJNQNNNNSLMNLMQTPONPPMLQPQPLOMPNMRNLQNUNNQPROJNLPONLQPOOPOQSOM
banxumu'o	$x_1$ is the language with ISO 639-3 code ''xmo'' (Morerebi).	See also {bangu}	fu'ivla	OMMNOMQNQLXMRNSOMMNORPPQRQNOTOMRSORTNKNOJMSOOQNMNOLOMQQJNOLPMSQPNOLJLMMNORLNSQPNNQPSQPLOPQPQQSLPRQMPSPMOMLNNPLMJNJLQPQOPOOMMQKOOOUOMLNNQHMNLJPPOMPPOONNPNUSMNPOOMPMOOOLRRMLMSOPLOLOPNRQKNSNOMMSSPLKLSQMMTSMLMNQOMOOOMRQONONKNMMONPNMIJUQONOKQPSRQQPPMOMPOPRQSMMNLRMLNNOPQNPSQONLPLTJOPPPKNPNOOPOOOOQOKRLLQLONPNPOOPPOOOUNNPSOPROLKOJSPMOQNSNNNOMQSQOPNQLKRPRNJOORLORSLQOSKKRQONLMIQOPMPRNRPORRQM	Morerebi
banxumupu	$x_1$ is the language with ISO 639-3 code ''xmp'' (Kuku-Mu'inh).	See also {bangu}	fu'ivla	MNOLOMSNQNVLPOQPMKPNPOQPSPOPSOMRTQRUPJMPLLQNPQLNONMQLQRKMRLPMUQQMMLMMMOMNQJPUONMNQNPNQLNPPOOPQNPRRMQPOMNMLPLPNMHMLOQOPNPNNMPLNQOORPJJLOOHPNMKPOOOPPNPOMONSRLOQMOKPHMMPKRPMMLQPPJPKMOORSKROLOMLQPPKMOPQKLSQMLMMOPMONPOSQQNOMNPNJOMQKNKMTSOPOKOOUQQSNQNOMPOPSPPQLOKTOJONLNPROTOQONNNRLPONRJQONOKQMNOPRMJQLMQMOMPPPPQOQPQPTONPUNQPONHOLPPMNQNRPLPOMOTQOPPQMJSOSPLOOOOPRRMPPSLMPQROMNLNOMMPQLMPNQSQN	Kuku-Mu'inh
