@rowCount	5744
w	d	n	t
Hannah	[object Object]	(mother of Samuel)	prop
Hannibal	[object Object]	(name)	prop
Hanoi	[object Object]	(capital of Vietnam)	prop
Hanover	Hanôver	(German city)	prop
Hanse	{Hanseatic League}		n
Hansel and Gretel	João e Maria	(the fairy tale)	prop
Hanukkah	[object Object]	(the Jewish festival)	prop
Hanuman	[object Object]	(Hindu demi-god)	prop
Hanzi	{Chinese character}		n
Haora	{Howrah}		prop
hapax	{hapax legomenon}		n
haphazard	atabalhoado, Synonyms: aleatório(random), confuso (confused), sem pé nem cabeça	(random, chaotic, incomplete)	adj
haphazardly	atabalhoadamente	(in a haphazard manner)	adv
hapless	[object Object]	(very unlucky; ill-fated)	adj
haplogroup	haplogrupo	(group of haplotypes)	n
haply	{perhaps}		adv
happen	acontecer, suceder	(to occur)	v
happening	[object Object]	(something that happens)	n
happen on	chance upon	(happen on)	v
happily	alegremente, felizmente	(in a happy manner)	adv
happily ever after	feliz/felizes para sempre	(happily until one's death)	adv
happiness	[object Object]	(emotion of being happy)	n
happy	feliz	(fortunate)	adj
happy birthday	feliz aniversário, parabéns	(good wishes for a birthday)	interj
happy ending	[object Object]	(happy end)	n
Happy Holidays	Boas Festas	(holiday greeting)	phrase
happy medium	[object Object]	(balanced position)	n
Happy New Year	feliz ano novo	(Happy New Year)	phrase
haptic	tátil [BR], táctil [PT]	(relating to the sense of touch)	adj
hara-kiri	[object Object]	(ceremonial suicide by ripping open the abdomen)	n
harass	molestar, incomodar	(to annoy; to molest)	v
harbinger	[object Object]	(that which foretells the coming of something)	n
harbor	{harbour}		n
harbour	abrigar	(provide refuge for)	v
hard	bem	(with much force or effort (related to act of think))	adv
hardback	[object Object]	(a book with a solid binding)	n
hard disk	disco rígido	(unit and all the disks within it)	n
hard drive	[object Object]	(device used for storing large amounts of data)	n
harden	endurecer	(become hard)	v
hardheaded	cabeçudo	(stubborn)	adj
hard labor	{forced labor}		n
hard-liner	[object Object]	(A person who takes a firm position on some policy)	n
hardly	severamente	(harshly)	adv
hard maple	{sugar maple}		n
hardness	[object Object]	(quality of being hard)	n
hard of hearing	surdo	(having difficulty hearing)	adj
hard-on	[object Object]	(erection of the penis)	n
hard palate	[object Object]	(tissue)	n
hard roe	{roe}		n
hardship	[object Object]	(difficulty or trouble)	n
hard shoulder	[object Object]	(verge to the side of a highway)	n
hardware	[object Object]	(The part of a computer that is fixed and cannot be altered without replacement or physical modification)	n
hardwood	[object Object]		n
hardworking	trabalhador	(taking her work seriously and doing it well and rapidly)	adj
hard-working	hardworking	(tending to work with ardour)	adj
hare	[object Object]	(animal)	n
harelip	[object Object]	(congenital malformation of the upper lip)	n
harem	[object Object]	(the private part of an Arab household)	n
haricot	{common bean}		n
harlequin	arlequim	(pantomime fool)	n
harlot	[object Object]	(a female prostitute)	n
harm	ferir, fazer mal, afligir, machucar	(cause damage)	v
harmful	prejudicial, nocivo, danoso	(likely to be damaging)	adj
harmless	[object Object]	(incapable of causing harm or danger)	adj
harmonica	gaita	(wind instrument)	n
harmony	[object Object]	(pleasing combination of elements, or arrangement of sounds)	n
harness	arrear	(to place a harness on something)	v
harp	[object Object]	(musical instrument)	n
harpoon	[object Object]	(spearlike weapon)	n
harp seal	[object Object]	(a species of seal)	n
harpsichord	[object Object]	(musical instrument)	n
harpsichordist	[object Object]	(one who plays the harpsichord)	n
harpy	[object Object]	(fabulous winged monster with the face of a woman)	n
harpy eagle	[object Object]	(Harpia harpyja)	n
harquebus	[object Object]	(obsolete matchlock firearm)	n
harrier	[object Object]	(birds of prey)	n
harrow	ancinhar	(drag a harrow over)	v
harrowing	[object Object]	(causing pain or distress)	adj
Harry	[object Object]	(male given name)	prop
harsh	duro, severo, grosso, grosseiro, cruel	(severe or cruel)	adj
haruspex	[object Object]	(one who practices divination by inspecting entrails)	n
Harvard	[object Object]	(university)	prop
harvest	colher	(to win, achieve a gain)	v
harvestman	[object Object]	(arachnid)	n
Haryana	Haryana	(state)	prop
hash	picar	(to chop into small pieces)	v
Hashemite Kingdom of Jordan	Reino Hachemita da Jordânia	(Hashemite Kingdom of Jordan)	prop
hashish	cannabis	(marijuana generally)	n
Haskell	Haskell	(language)	prop
hassium	[object Object]	(chemical element with atomic number 108)	n
hassle	incomodar, aborrecer	(To trouble, to bother, to annoy)	v
haste	pressa	(speedy or quick action)	n
haste makes waste	a pressa é a inimiga da perfeição	(one makes mistakes when being too hasty)	proverb
hasty	[object Object]	(acting in haste; being too hurried or quick)	adj
hat	[object Object]	(a head covering)	n
hatband	[object Object]	(band about a hat)	n
hatch	crosshatch	(to shade an area)	v
hatchery	[object Object]	(a facility where eggs are hatched under artificial conditions)	n
hatchet	[object Object]	(small axe)	n
hatchway	[object Object]	(doorway with hatch)	n
hate	odiar	(to dislike intensely)	v
hate crime	[object Object]	(a crime considered particularly heinous for having been motivated by hate for a race, gender, religion, etc)	n
hater	odiador	(one who hates)	n
hat in hand	todo humilde	(with humility)	adv
hatmaker	hatter	(someone who makes hats)	n
hat-rack	{hat rack}		n
hatrack	{hat rack}		n
hatred	[object Object]	(strong aversion)	n
hat stand	{hatstand}		n
hatstand	{coat stand}		n
hat-stand	{hatstand}		n
hatter	[object Object]	(person who makes, sells, or repairs hats)	n
haughty	soberbo, vanglorioso, imodesto	(disdainful, supercilious; in demeanour conveying the assumption of superiority)	adj
haunt	assombrar	(to make uneasy)	v
haunted	perturbado	(showing a feeling of being disturbed)	adj
haunted house	[object Object]	(house believed to be a center for supernatural occurrences)	n
haute cuisine	[object Object]	(refined cookery)	n
Havana	[object Object]	(cigar)	prop
have	ter, possuir	(to possess)	v
have a look	take a look	(examine, observe)	v
have a nice day	tenha um bom dia	(goodbye)	phrase
have butterflies in one's stomach	ter (um) frio na barriga, estar com (um) frio na barriga	(be nervous)	v
have eyes bigger than one's belly	{have eyes bigger than one's stomach}		v
have eyes bigger than one's stomach	ter os olhos maiores que a boca	(take more food than one can eat)	v
have fun	divertir-se	(enjoy oneself)	v
haven	[object Object]	(refuge)	n
have one's hands full	estar ocupado	(be busy or thoroughly preoccupied)	v
have sex	transar, fazer sexo, fazer amor	(take part in a sexual act)	v
have to	ter que	(obligation)	phrase
having said that	{that said}		conj
havoc	[object Object]	(devastation)	n
Hawaii	[object Object]	(state of the United States)	prop
Hawaiian	[object Object]	(Hawaiian language)	prop
hawk	[object Object]	(predatory bird)	n
hawker	{peddler}		n
hawkmoth	{hawk moth}		n
hawksbill turtle	[object Object]	(turtle species)	n
hawthorn	[object Object]	(type of shrub)	n
hay	fenar	(to cut green plants for fodder)	v
haya	{Mexican beech}		n
hay fever	[object Object]	(allergy to pollen)	n
haystack	[object Object]	(a mound, pile, or stack of stored hay)	n
hazard	[object Object]	(the chance of suffering harm)	n
haze	névoa	(very fine particles suspended in the air)	n
hazel	[object Object]	(tree / shrub)	n
hazelnut	hazel	(shrub)	n
he	ele	(personal pronoun "he")	pron
head	comandar, dirigir, liderar	((transitive) be in command of)	v
headache	[object Object]	(pain or ache in the head)	n
headband	[object Object]	(strip of fabric worn around the head)	n
headbutt	dar (uma) cabeçada	(to deliver a sharp blow)	v
head cheese	brawn	(terrine)	n
headdress	hairdo	(a hairdo)	n
header	[object Object]	(upper portion of a page layout)	n
headlamp	farol	(headlight)	n
headland	[object Object]	(bit of coastal land that juts into the sea)	n
headless	acéfalo	(without a head)	adj
headlight	[object Object]	(bright light in front of vehicle)	n
headlongs	{headlong}		adv
headmaster	[object Object]	(the most senior master in a school (male))	n
head office	[object Object]	(main admin centre)	n
head of state	[object Object]	(the chief public representative of a nation)	n
head-on	head-on collision	(collision from the front)	n
headphone	[object Object]	(listening device)	n
headphones	fone de ouvido	(pair of speakers worn over or in the ears so only the wearer can hear the sound)	n
headpiece	headgear	(something covering the head)	n
headquarters	[object Object]	(the military installation)	n
heads	[object Object]	(side of coin)	n
headscarf	xaile [Portugal], xale [Brazil], lenço	(piece of material worn over the head)	n
head-shrinker	shrink	(slang: psychotherapist)	n
heads or tails	[object Object]	(heads or tails)	n
headstone	[object Object]	(grave marker)	n
head tax	poll tax	(tax determined as uniform amount per individual)	n
headwear	{headgear}		n
heal	curar, sanar	(make better)	v
healer	[object Object]	(person who heals)	n
healing	[object Object]	(healing process, see also: recovery)	n
health	saúde	(state of being free of physical or psychological disease, illness, or malfunction)	n
health care	[object Object]	(prevention, treatment, and management of illnesses)	n
healthful	[object Object]	(beneficial to health)	adj
health fund	[object Object]	(A not-for-profit or a public health insurance company)	n
healthy	saudável	(evincing health)	adj
heap	empilhar, amontoar	(to pile in a heap)	v
hear	ouvir	(to perceive with the ear)	v
hearing	[object Object]	(sense used to perceive sound)	n
hear on the grapevine	hear through the grapevine	(to hear rumors)	v
hearsay	[object Object]	(information that was heard by one person about another)	n
hearse	[object Object]	(vehicle for transporting dead)	n
heart	[object Object]	(emotions or kindness)	n
heart attack	[object Object]	(acute myocardial infarction)	n
heartbreak	coração partido	(anguish)	n
heartburn	[object Object]	(pain caused by stomach acid)	n
heart failure	[object Object]	(chronic inability of the heart)	n
hearth	[object Object]	(Floor of fireplace)	n
heartland	[object Object]		n
heartless	sem coração	(without feeling)	adj
heart rate	[object Object]	(number of heart beats per unit of time)	n
heart-rending	heartrending	(heart-rending)	adj
hearts	[object Object]	(trick-taking card game)	n
heartthrob	batimento cardíaco	(heartbeat)	n
heart-warming	animador	(eliciting tenderness and sympathy)	adj
heartwood	[object Object]	(wood)	n
heat	aquecer, esquentar	(to cause an increase in temperature of an object or space)	v
heater	[object Object]	(device that produces and radiates heat)	n
heath	[object Object]	(uncultivated land with sandy soil)	n
heathen	[object Object]	(uncultured or uncivilized person)	n
Heathen	pagão	(pertaining or adhering to the faith of Heathenry)	adj
heather	[object Object]	(various species of the genus Erica)	n
heating	[object Object]	(a system that raises the temperature of a room or building)	n
heat wave	heatwave	(heat wave)	n
heatwave	[object Object]	(period of very hot weather)	n
heaven	[object Object]	(sky)	n
heaven helps those who help themselves	Deus ajuda quem se ajuda	(a maxim encouraging people to get involved in their own problems)	proverb
heavenly	celeste	(pertaining to heaven)	adj
heavenly body	[object Object]	(natural celestial body)	n
Heavenly Father	[object Object]	(A formal name for the Judeo-Christian God)	prop
heavens	[object Object]	(the sky)	n
heavy	pesado	(having great weight)	adj
heavy hydrogen	{deuterium}		n
heavy metal	[object Object]	(type of music)	n
heavy water	[object Object]	(water containing deuterium instead of normal hydrogen)	n
hebdomadal	weekly	(occurring once a week)	adj
Hebe	[object Object]	(goddess of youth)	prop
Hebrew	{Yiddish}		prop
Hebrides	[object Object]	(group of islands)	prop
Hecate	[object Object]	(Greek goddess)	prop
he could be her father	ele poderia ser o pai dela	(man older than woman)	phrase
hectare	[object Object]	(unit of surface area)	n
hecto-	hecto-	(hundred)	prefix
hectometer	{hectometre}		n
hectometre	[object Object]	(the length of 100 metres)	n
Hector	[object Object]	(the Trojan hero)	prop
hedge	[object Object]	(thicket of bushes planted in a row)	n
hedge garlic	garlic mustard	(Alliaria petiolata)	n
hedgehog	[object Object]	(animal)	n
hedonism	[object Object]	(philosophy)	n
Hedwig	Edwiges	(female given name)	prop
heed	prestar atenção	(to pay attention)	v
heel	[object Object]	(part of shoe)	n
heel bone	{calcaneus}		n
hegemony	[object Object]	(domination, influence, or authority over another)	n
Hegira	[object Object]	(emigration of Muhammad)	prop
he-goat	{billy goat}		n
hehe	hehe	(sound of a giggle)	interj
heifer	[object Object]	(young cow)	n
height	[object Object]	(highest point)	n
Heilongjiang	{Amur}		prop
Heine	[object Object]	(surname of German-speakers)	prop
heinous	hediondo	(totally reprehensible)	adj
heir	[object Object]	(successor in a role)	n
heist	roubar	(to steal, rob or hold up something)	v
háček	[object Object]	(háček diacritic)	n
Helen	[object Object]	((Greek mythology) the daughter of Zeus and Leda)	prop
heliciculture	[object Object]	(snail farming)	n
helicopter	[object Object]	(aircraft)	n
heliocentricism	{heliocentrism}		n
heliometer	[object Object]	(astronomical instrument for measuring the diameter of the sun)	n
Helios	[object Object]	(god)	prop
heliotheism	[object Object]	(worship of the sun as a god)	n
heliotrope	[object Object]	(plant)	n
helium	[object Object]	(chemical element)	n
hell	[object Object]	(where sinners go)	prop
