@rowCount	12099
diletantismo	amateurism, dilettantism
diletanto	amateur, dabbler, dilettante
dileteco	amateurism, amateurishness
diligenta	assiduous, diligent, hardworking, industrious, earnest
diligente	diligently
diligenteco	industry
diligenti	to apply oneself
diligentigxi	to plod on
diligento	diligence
diligentulo	hard worker
diligxenco	diligence, stage-coach
dilui	to adulterate, dilute
diluva	of a flood
diluva akvo	floodwater(s)
Diluvio	Diluvium
diluvo	deluge, flood
dimancxa	Sunday, of Sunday
dimancxe	on Sunday(s)
dimancxo	Sunday
dimensinombro	dimensionality
dimensio	dimension, measurement, order, size
diminuendo	diminuendo
diminui	to diminish
diminutivo	diminutive
dimorfoteko	African daisy
dimsamo	dim sum
dinamika	dynamic
dinamika datumintersxangxo	Dynamic Data Exchange, DDE
dinamika ekzemplero	generation, instance
dinamika memorareo	dynamic area, heap
dinamika memordisponigo	dynamic allocation
dinamika tabelo	dynamic array
dinamike	dynamically
dinamike bindebla biblioteko	DLL, dynamic link library, shared library
dinamiko	dynamics
dinamismo	dynamism (philosophy)
dinamito	dynamite
dinamo	dynamo
dinamometro	dynamometer
dinamotoro	dynamotor
dinaro	dinar
dinastia	dynastic
dinastio	dynasty
dinatrono	dynatron
Dinbihxo	Denbigh
dineo	Navajo
Dinglo	Dingle
dingo	dingo
Dingvalo	Dingwall
dinka	Dinka
dino	dyne
dinornito	moa
dinosauxro	dinosaur
dinoterio	dinothere, dinotherium
dio	deity, divinity, god
Dio	God
Dio benu vin	God bless you
dioceza	diocesan
diocezo	diocese
diodo	diode
Diogeno	Diogenes
dioika	dioecious
diomedeo	albatross
Dionizo	Dionysus
dioptriko	dioptrics
dioptrio	dioptre
dioramo	diorama
Dioservo	divine service
dioskoreo	yam
diotropo	trinity (of gods)
dipatrino	Mother of God
Dipatrino	Mother of God
dipleksa	duplex
diplodoko	diplodocus
diplomado	certification
diplomata	diplomatic
diplomateco	diplomacy
diplomatia	diplomatic
diplomatia noto	diplomatic note
diplomatie	diplomatically
diplomatiisto	diplomat
diplomatio	diplomacy
diplomato	diplomat
diplomi	to certify
diplomigxi	to graduate
diplomita	certificated, graduate
diplomitigxi	to graduate
diplomitino	alumna
diplomitita	certified, having a certificate
diplomito	graduate
diplomo	certificate, degree, diploma
dipodo	jerboa
dipolo	dipole
diporto	backwardation
dipsako	teasel
dipsomanio	dipsomania
diptiko	diptych
dirado	saying
dirajxo	saying
diraka	Dirac
diraka combilo	Dirac's comb
diraka distribucio	Dirac distribution
diraka kombilo	Dirac comb
diraka mezuro	Dirac measure
Dirako	Dirac
dirante	while saying
diregi	to say loudly, strongly
direkcio	directorate
direkta	directional
direkta egxo	directed edge
direkta grafeo	directed graph
direktado	steering
direktalo	tail fin
direktanta	leading
direktanto	director, manager
direkte	directly
direktebla	docile
direkterono	rudder
direkti	to conduct, direct, drive, guide, manage, refer, steer, govern
direkti al	to head for, make for
direkti sin	to bear down, make
direkti sin al	to break down upon, make for, head for
direkti sin laux	to abide by
direktigxi	to direct oneself towards, head towards
direktilisto	driver, helmsman, steersman
direktilo	handlebars, helm, rudder, tiller
direktilstango	tiller
direktisto	director
direktivo	directive
direkto	direction
direktoraro	board, directorate
direktoreco	directorate, directorship
direktorino	manageress
direktorio	directorate
direktoro	director, manager
diri	to say, tell, state
diri lauxtvocxe	to say aloud
diri sensencajxon	to talk nonsense
dirigento	conductor
dirigi	to have someone say, make someone say
dirmaniero	expression, turn of speech, way of speaking
diro	statement
diru al mi	tell me
dis-	(denotes dispersal or separation)
disa	disjoint
disa aro	disjoint set
disa datumbazo	distributed data base
disa dosiersistemo	distributed file system
disa komputilsistemo	distributed system
disa kunlaboro	distributed processing
disa tradukado	separate compilation
disafisxi	to spam
disaj aroj	disjoint sets
disapartigxi	to become separated
disatomi	to split the atom
disaux	xor, exclusive or
disauxdiganto	broadcaster
disauxdigi	to broadcast
disauxdigo	broadcast
disauxo	exclusive disjunction, XOR operator
disbabili	to babble away
disbari	to segregate
disbati	to dash to pieces, knock down, smash
disblovi	to blow apart, scatter (by blowing)
disblovi la nazon	to blow one’s nose
disbrancxigi	to branch
disbrancxigo	branching
disbrancxigxi	to branch off
disbruligilo	bubbler
disbuki	to unfasten
discenterco	eccentricity
discentreco	eccentricity
disciplina	disciplinary
disciplinemo	obedience
disciplini	to discipline
disciplino	discipline
discxiplo	adherent, disciple, follower
disde	out of
disdegni	to disdain
disdegno	disdain
disdividi	to cut up, partition
disdonado	distribution
disdoni	to deal out, distribute, dispense, give out, share
disdonilo	dispatcher
disdono	distribution
disduigi	to cut in two
disduigxi	to split apart, become split, split into two
disduigxo	bifurcation
dise	spread about, here and there
dise de	apart from, away from
diseco	divergence, dispersal
diselo	diesel
disenterio	dysentery
diserigebla	biodegradable
diserigi	to disintegrate, separate into elements, decompose, disassemble
diserigxi	to fall apart
disertacio	dissertation
disertajxo	dissertation
diserti	to dissertate, discuss
diserto	dissertation
diserva	devotional
diservo	(religious) service, worship service, church service, divine service
disetendi	to expand, open, spread, spread-eagle
disetendigxi	to expand, open
disfadenigi	to unravel
disfadenigo	multitreading
disfagio	dysphagia
disfaldi	to spread out, unfold, deploy
disfalema	crumbling
disfali	to collapse, fall to pieces
disfaligi	to demolish
disfalo	collapse, disintegration
disfamigi	to spread the fame of
disfandi	to dissipate, disappear, melt (away)
disfazio	dysphasia
disfendigxi	to split apart
disfolido	boomslang
disforkigxi	to fork
disforkigxo	bifurcation
disfrakasi	to crush, shatter
disfrakasigxi	to shatter
disgutigi	to atomize
disgutigilo	atomizer
dishaki	to chop, chop up
disi	to be separate
disidento	dissident
disiernomo	file name
disiga konjunkcio	disjunctive conjunction
disigi	to disband, disconnect, disintegrate, divide, separate, disunite, sever
disigilo	delimiter, separator
disiginta	schismatic
disigita	dispersed
disignifo	double meaning
disigo	disjunction, schism, separation
disigpovo	resolving power
disigxema	loose, sandy
disigxi	to separate, part
disigxo	disunion, break up (of a relationship)
disipi	to waste
disiri	to break up, separate
disirigi	to break up
disjunkcio	disjunction
disjxeta	injective
disjxeti	to (broad)cast, scatter, strew
disjxeto	injection
disk-etikeda	disk-labeling
disk-kopio	disk duplication
diskanto	treble
diskaparato	hard disk
diskarabo	ladybird
diskedo	floppy, diskette
diskeraro	disk error
diskestro	disk jockey (DJ)
disketikeda	disk-labeling
disketilo	floppy disk drive
disketingo	floppy drive
disketo	diskette, floppy disk
diskettenilo	diskette drive, diskette drive
diski	to dial (telephone)
diskila	drive
diskila nicxo	drive bay
diskilo	disk drive
diskingo	disk drive
diskingocifero	drive digit
diskingolitero	drive letter
diskjxokeo	disc jockey
diskkopio	disk duplication
diskludilo	record player
diskmemoro	disk space
disko	dial, disc, disk, record, circle
diskocilindro	cylinder
diskodancejo	disco, discothèque
diskodrajvo	disc drive
diskografio	discography
diskogurdo	juke box
diskoma	comma-separated, comma-delimited
diskoma dosiero	comma-delimited file, comma-separated file
diskombi	to card
diskonigi	to publicize
diskonigisto	publicist
diskonti	to discount
diskontisto	bill-broker
diskonto	discount
diskontprocento	bank rate
diskoo	disco (music)
diskoplato	turntable
diskordo	disagreement, discord, dissension
diskosegilo	buzz saw
diskospaco	disk space
diskostako	disk stack
diskoteko	discothèque
diskoturnisto	disk jockey
diskovendejo	record shop
diskpleto	disk tray
diskrediti	to discredit
diskreditigi	to cry down, cut up, demolish, pull to pieces, run down, write down
diskredito	discredit
diskreski	to grow apart, grow across
diskreta	discrete, countable, denumerable
diskreta topologio	discrete topology
diskrete	discretely
diskreteco	modesty
diskretigo	discretization, sampling
diskreto	discretion
diskriminacia	discriminatory
diskriminacii	to discriminate
diskriminacio	discrimination
diskriminanto	discriminant
diskrimini	to discriminate
diskrimino	discrimination
diskturnila nicxo	drive bay
diskturnilo	disk unit
diskunuo	disk drive
diskuri	to run about
diskurso	discourse
diskutado	discussion
diskutebla	able to be discussed
diskutema	argumentative
diskutgrupo	discussion group
diskuti	to discuss
diskutigi	to raise the subject of, bring up
diskutinda	worthy of discussion
diskuto	discussion
diskutrondo	discussion circle
diskutservilo	discussion server
diskuttabulo	discussion board
disleksia	dyslexic
disleksio	dyslexia
disleksiulo	dyslexic
disligi	to disjoin
dislimi	to delimit
dislimo	demarcation, divide, division, parting
disloki	to disperse, disseminate
dismalcxasta	promiscuous
dismalcxasteco	promiscuity
dismasxigxi	to ladder
dismasxigxo	ladder
dismembrigi	to dismember, take apart, analyze
dismeti	to decompose, take apart
dismordi	to bite apart, bite off
disnodigxo	the coming undone of a knot
disocii	to dissociate
disonanco	dissonance
disondajxo	wake
disondo	wake
disopinii	to be of a different opinion
disparceligi	to divide into lots
dispartigi	to partition
dispartigo	partition (of a set)
dispece eksplodi	to explode into pieces
dispecetigxi	to crumble
dispecigi	to parcel out, take apart, break into pieces
dispecigxi	to break into pieces
dispeco	shred
dispeli	to disperse
dispensario	dispensary, public dispensary, welfare center
dispepsio	dyspepsia, indigestion
dispersa angulo	dispersion angle
disperseco	dispersing power
dispersi	to disperse, scatter
dispersiva	dispersion
disperso	dispersion
dispisti	to crush
dispneo	dyspnoea, shortness of breath
disponado	disposal, care
disponajxa komando	device control
disponajxnumero	device ID
disponajxo	device
disponebla	available, disposable
disponebla por tuja uzo	available for immediate use
disponebleco	availability
disponebligi	make available
disponeblo	availability
disponi	to absorb, have at one’s disposal, dispose (of), have available
disponi pli da tempo	to have more time
disponiga	deployment
disponigi	to make available, provide
disponigota	deployment
disponigxi	to be available
dispono	disposition
disporti	to diffuse, distribute
dispostenigi	to deploy
dispostenigo	deployment
disposxtajxo	cross-post
disposxti	to cross-post
dispozicii	to predispose, dispose
dispozicio	predisposition, tendency
dispremi	to crush, squash
disproporcio	imbalance
disprozio	dysprosium
disputa	disputatious
disputacxi	to squabble, wrangle
disputacxo	wrangle
disputado	controversy, wrangle
disputebla	moot
disputego	large argument, disagreement
disputema	argumentative, confrontational, contentious
disputeti	to bicker
disputi	to argue, dispute, bicker, contest, wrangle, contend
disputiga	contentious, controversial
disputo	contest, debate, dispute, quarrel, polemic, strife
disradiado	radiance
disradii	to emit
disreferenca bildo	clickable image map
disrevigxo	disappointment, disenchantment, disillusionment
disrompajxo	wreckage
disrompema	disruptive
disrompi	to break off, smash, disrupt
disrompigxi	to break, fall apart
disrompigxo	disruption
dissalti	to burst apart, fly asunder
dissekcii	to dissect
dissekcio	dissection
dissemado	propagation
dissemi	to disseminate, scatter, sow, spread (seed)
dissemigi	to disseminate, sow
dissemigxado	propagation
dissemigxi	to disseminate, propagate, scatter
dissendata	broadcasted
dissendi	to distribute, circulate, broadcast, send out
dissendilo	transmitter
dissendita	broadcasted
dissendo	transmission
dissendoanteno	broadcast antenna
dissendolisto	mailing list
disskvamigxi	to flake off, peel off
dissolvi	fade
dissolvigxi	to dissolve
dissolvo	fade
disspecigi	to sort
disstari	to straddle
dissterni	to strew
dissternigxi	to sprawl
dissternigxo	sprawl
dissurjxeta	bijective, one-to-one
dissurjxeto	bijection, biunique correspondence, one-to-one mapping
dissxiri	to rend, tear (in pieces)
dissxirigxi	to tear apart
dissxirita	tattered
dissxiro	rending
dissxovregximo	insert mode
dissxuta	file sharing
dissxuti	to distribute (scatter)
dista	distant, remote
distaba	tab-separated, tab-delimited
distaba dosiero	tab-separated file, tab-delimited file
distanca	aloof
distanca regilo	remote control, clicker
distance	at a distance
distancema	aloof
distancigi	to distance
distancigxi	to distance
distanco	distance, offset
distanco laux Hamming	Hamming distance
diste	at a distance
diste de	far (away) from
distetendigxo	expansion
distetendo	expansion
distiko	distich, couplet
distilado	distillation
distilaparato	alembic, still
distilejo	distillery
distili	to distil
distililo	still (distilling)
distilisto	distiller
distinga	distinctive
distingajxo	peculiarity, characteristic
distinge	distinctively
distingebla	distinguishable
distingeble	discernibly, distinctly
distingebleco	distinctness
distingeco	distinctiveness
distingema	discerning
distingi	to differentiate, discern, discriminate, distinguish, mark
distingi inter	to differentiate between
distingiga	distinctive
distingigi	to distinguish, characterize
distingigxa	distinctive
distingigxi	to distinguish oneself
distingigxulo	distinguished person
distingilo	feature, trait, attribute, character
distinginda	distinguished, eminent
distingindulo	distinguished person
distingita	distinguished
distingivo	resolution
distingo	distinction, renown
distomo	fluke, liver-fluke
distopia	dystopia, anti-utopia
distopio	dystopia, anti-utopia
distopiulo	dystopian (person), anti-utopian
distordi	to skew, twist, wrench
distordigxi	to sprain
distordigxo	skewing, sprain
distordilo	distortion box
distordo	distortion, skewing, wrench
distra	entertaining
distra vespero	evening, party
distrado	distraction, diversion
distrajxo	distraction, diversion
distrancxado	truncating
distrancxeraro	truncation error
distrancxi	to cut up
distre	entertainingly
distreco	distraction
distri	to amuse, distract, divert, entertain, unbend, relax
distribua funkcio	(probability) distribution function
distribua servo	parcels delivery, parcels service
distribuado	delivery, distribution
distribuanto	carrier
distribucio	distribution, generalized function
distribueblo	distributivity
distribuebloregulo	distributive law
distribueca	distributive
distribuece	distributively
distribueco	distributivity
distribui	to allocate, apportion, distribute
distribuilo	distributor
distribuisto	distributor
distribuo	distribution
distribuota	to be shipped
distributa	distributive
distrigxema	absent-minded, distracted
